cmcRank,circulatingSupply,price,volume24h,fetched_on
58,14735268.10081056,92.042028191484,109684453.486349,2024 02 17 - 08:56:35 PM
58,14735268.10081056,92.17520955499168,109590365.55524307,2024 02 17 - 09:01:39 PM
58,14735268.10081056,92.60972849476693,109579945.94237776,2024 02 17 - 09:06:43 PM
58,14735268.10081056,92.58636339128279,109364658.22050627,2024 02 17 - 09:11:46 PM
58,14735268.10081056,92.7487356626746,109441284.44261992,2024 02 17 - 09:16:50 PM
58,14735268.10081056,92.56754186037088,109131531.88454716,2024 02 17 - 09:21:53 PM
58,14735268.10081056,92.43876524537453,109349048.7237261,2024 02 17 - 09:26:58 PM
58,14735268.10081056,92.54220288256023,109262224.10607058,2024 02 17 - 09:32:02 PM
58,14735268.10081056,92.33371525780528,108876016.16727203,2024 02 17 - 09:37:06 PM
58,14735268.10081056,92.4235315462102,108590621.9728689,2024 02 17 - 09:42:09 PM
58,14735268.10081056,92.4666073904208,108457619.30108961,2024 02 17 - 09:47:13 PM
