cmcRank,circulatingSupply,price,volume24h,fetched_on
75,5564849961.0,0.16432684211759507,22243378.91532272,2024 02 17 - 08:56:35 PM
75,5564849961.0,0.16482981932949833,22127952.64599546,2024 02 17 - 09:01:39 PM
75,5564849961.0,0.16541261921009667,22114206.24357408,2024 02 17 - 09:06:43 PM
75,5564849961.0,0.16536442848555544,22095349.43043144,2024 02 17 - 09:11:46 PM
75,5564849961.0,0.16552217220133528,21972389.23645501,2024 02 17 - 09:16:50 PM
75,5564849961.0,0.16551765816284886,21946749.87940931,2024 02 17 - 09:21:53 PM
75,5564849961.0,0.1655378558667429,21955416.24847305,2024 02 17 - 09:26:58 PM
75,5564849961.0,0.16566315957048866,22012967.99742008,2024 02 17 - 09:32:02 PM
75,5564849961.0,0.16538156916874155,21967645.18486615,2024 02 17 - 09:37:06 PM
75,5564849961.0,0.165434315731917,21941201.33690728,2024 02 17 - 09:42:09 PM
75,5564860572.0,0.1653402121063331,21982272.68194102,2024 02 17 - 09:47:13 PM
