cmcRank,circulatingSupply,price,volume24h,fetched_on
4,149545780.1940121,322.3881319993488,1113424555.8770092,2024 02 09 - 08:56:35 AM
4,149545780.1940121,322.2793607106919,1113315102.4101603,2024 02 09 - 09:00:52 AM
4,149545780.1940121,322.14932791676864,1109966642.3633976,2024 02 09 - 09:05:38 AM
4,149545780.1940121,322.3283454176091,1111670329.9668398,2024 02 09 - 09:10:26 AM
4,149545780.1940121,321.3990812231739,1112600574.1323912,2024 02 09 - 09:14:41 AM
4,149545780.1940121,321.3091071311943,1110783663.9779532,2024 02 09 - 09:19:09 AM
4,149545780.1940121,321.21640062116853,1110137645.561252,2024 02 09 - 09:24:04 AM
4,149545780.1940121,321.141603219965,1109962372.9017682,2024 02 09 - 09:28:45 AM
4,149545780.1940121,320.91406997888794,1104677517.4927447,2024 02 09 - 09:33:31 AM
4,149545780.1940121,321.11837525645313,1101588862.04919,2024 02 09 - 09:38:26 AM
4,149545769.79012462,320.8504442261467,1101484224.8478353,2024 02 09 - 09:43:07 AM
4,149545769.79012462,320.6970054465563,1101026391.6210384,2024 02 09 - 09:48:09 AM
4,149545769.79012462,320.3972069549509,1099972962.6680026,2024 02 09 - 09:52:27 AM
4,149545769.79012462,320.4617079204968,1099686330.3673246,2024 02 09 - 09:56:58 AM
4,149545769.79012462,320.8632433279818,1099336037.24248,2024 02 09 - 10:01:35 AM
4,149545769.79012462,321.4847814344588,1096694205.8900552,2024 02 09 - 10:05:59 AM
4,149545769.79012462,321.6045655930266,1094114551.0017977,2024 02 09 - 10:10:25 AM
4,149545769.79012462,321.6989494837261,1085844956.4237223,2024 02 09 - 10:14:46 AM
4,149545769.79012462,322.03774878086693,1080663453.9043603,2024 02 09 - 10:19:44 AM
4,149545769.79012462,321.9795345621747,1076561699.1301622,2024 02 09 - 10:24:35 AM
4,149545769.79012462,320.98620399462783,1077579886.0528755,2024 02 09 - 10:29:35 AM
4,149545769.79012462,320.75070985348884,1072402264.5222524,2024 02 09 - 10:34:14 AM
