cmcRank,circulatingSupply,price,volume24h,fetched_on
57,51707420636.703926,0.026741203608757882,32184972.4865457,2024 02 17 - 08:56:35 PM
56,51707420636.703926,0.026864142383686496,32081762.22382447,2024 02 17 - 09:01:39 PM
57,51707420636.703926,0.02688715252194154,32104470.84485239,2024 02 17 - 09:06:43 PM
57,51707420636.703926,0.02682618339891892,32141350.18339335,2024 02 17 - 09:11:46 PM
57,51707420636.703926,0.026878517846872785,32128927.64156417,2024 02 17 - 09:16:50 PM
56,51707420636.703926,0.02694968183885394,32118214.32681724,2024 02 17 - 09:21:53 PM
56,51707420636.703926,0.02692414929956543,32064284.17908204,2024 02 17 - 09:26:58 PM
56,51707420636.703926,0.02699798393112204,31976492.20166308,2024 02 17 - 09:32:02 PM
57,51707420636.703926,0.02695938792688246,31794459.75739223,2024 02 17 - 09:37:06 PM
57,51707420636.703926,0.02696595491068177,31699024.17527149,2024 02 17 - 09:42:09 PM
57,51707749843.94027,0.026882543784721533,31572709.07562503,2024 02 17 - 09:47:13 PM
