cmcRank,circulatingSupply,price,volume24h,fetched_on
63,968246428571000.0,1.0671552904596479e-06,141726394.0763588,2024 02 09 - 08:56:35 AM
64,968246428571000.0,1.0640990221483595e-06,141887981.9953556,2024 02 09 - 09:00:52 AM
63,968246428571000.0,1.0624249862591533e-06,142258323.47332004,2024 02 09 - 09:05:38 AM
63,968246428571000.0,1.0633094344048364e-06,142279815.57228696,2024 02 09 - 09:10:26 AM
63,968246428571000.0,1.0660898145203342e-06,142288034.67031255,2024 02 09 - 09:14:41 AM
63,968246428571000.0,1.0665315813688233e-06,142224971.85376754,2024 02 09 - 09:19:09 AM
62,968246428571000.0,1.0716677278972738e-06,142467273.39357045,2024 02 09 - 09:24:04 AM
63,968246428571000.0,1.070386075283576e-06,142645987.84362105,2024 02 09 - 09:28:45 AM
63,968246428571000.0,1.0670214076756201e-06,142582207.22633815,2024 02 09 - 09:33:31 AM
63,968246428571000.0,1.068260070407686e-06,142653095.31681797,2024 02 09 - 09:38:26 AM
62,968246428571000.0,1.0717147524111934e-06,142838257.9378333,2024 02 09 - 09:43:07 AM
63,968246428571000.0,1.0683438462451566e-06,142881195.36157283,2024 02 09 - 09:48:09 AM
63,968246428571000.0,1.0630053805526808e-06,142935331.65633404,2024 02 09 - 09:52:27 AM
63,968246428571000.0,1.0626502390091613e-06,142926348.38762793,2024 02 09 - 09:56:58 AM
63,968246428571000.0,1.061479497882682e-06,142924067.37711522,2024 02 09 - 10:01:35 AM
63,968246428571000.0,1.058813875294857e-06,143258556.83698133,2024 02 09 - 10:05:59 AM
63,968246428571000.0,1.061254702035969e-06,143507878.55080116,2024 02 09 - 10:10:25 AM
63,968246428571000.0,1.0607239487769417e-06,143606727.80177355,2024 02 09 - 10:14:46 AM
62,968246428571000.0,1.0729057588594916e-06,144029062.4219141,2024 02 09 - 10:19:44 AM
62,968246428571000.0,1.074639334879102e-06,144456971.97807822,2024 02 09 - 10:24:35 AM
62,968246428571000.0,1.0745169713752266e-06,144085809.89112532,2024 02 09 - 10:29:35 AM
62,968246428571000.0,1.0704796981400597e-06,143132342.03503647,2024 02 09 - 10:34:14 AM
63,968246428571000.0,1.0694659997327838e-06,142638930.87131187,2024 02 09 - 10:38:31 AM
63,968246428571000.0,1.0670262271171284e-06,142247649.62109408,2024 02 09 - 10:43:04 AM
63,968246428571000.0,1.0655732082268115e-06,141717879.78380197,2024 02 09 - 10:47:31 AM
63,968246428571000.0,1.0646652559068064e-06,140716476.91257828,2024 02 09 - 10:51:47 AM
63,968246428571000.0,1.0646079669362084e-06,139998609.38631073,2024 02 09 - 10:56:22 AM
65,968246428571000.0,1.060253434395449e-06,137847933.49652597,2024 02 09 - 11:00:57 AM
65,968246428571000.0,1.0613284821491838e-06,134611193.4467504,2024 02 09 - 11:05:15 AM
65,968246428571000.0,1.0614409040792692e-06,131941878.55915144,2024 02 09 - 11:09:50 AM
65,968246428571000.0,1.0619259489266973e-06,129947930.46822405,2024 02 09 - 11:14:22 AM
64,968246428571000.0,1.0620812622713108e-06,128388996.62531349,2024 02 09 - 11:18:57 AM
63,968246428571000.0,1.0689468319440178e-06,125881197.56906185,2024 02 09 - 11:25:11 AM
63,968246428571000.0,1.0707839289843649e-06,124634698.37822594,2024 02 09 - 11:30:11 AM
63,968246428571000.0,1.0705177820559034e-06,120518247.93704364,2024 02 09 - 11:35:11 AM
63,968246428571000.0,1.067865096661062e-06,118101061.11291713,2024 02 09 - 11:39:58 AM
64,968246428571000.0,1.0677256122816633e-06,116944494.86951979,2024 02 09 - 11:44:17 AM
63,968246428571000.0,1.0707135990102343e-06,114731103.31974885,2024 02 09 - 11:48:38 AM
63,968246428571000.0,1.068966912970113e-06,113395164.44364735,2024 02 09 - 11:52:54 AM
64,968246428571000.0,1.0685681221871678e-06,112336204.18667552,2024 02 09 - 11:57:27 AM
64,968246428571000.0,1.0678015094957678e-06,111798947.03371777,2024 02 09 - 12:02:08 PM
65,968246428571000.0,1.065819554225419e-06,109221510.36017081,2024 02 09 - 12:07:07 PM
65,968246428571000.0,1.0639298162649746e-06,108331762.09202589,2024 02 09 - 12:11:30 PM
65,968246428571000.0,1.0629554563717499e-06,107659037.44498125,2024 02 09 - 12:16:19 PM
65,968246428571000.0,1.063882152356772e-06,106097293.93448588,2024 02 09 - 12:20:42 PM
