cmcRank,circulatingSupply,price,volume24h,fetched_on
1,19630406.0,50913.534748699174,20696778048.759502,2024 02 17 - 08:56:35 PM
1,19630406.0,50990.89464395772,20668345655.17721,2024 02 17 - 09:01:39 PM
1,19630406.0,51050.59177431216,20769955097.452274,2024 02 17 - 09:06:43 PM
1,19630406.0,51058.40392479029,20765090544.15075,2024 02 17 - 09:11:46 PM
1,19630406.0,51049.87415988793,20741660174.144108,2024 02 17 - 09:16:50 PM
1,19630406.0,50974.00116414482,20704726495.777607,2024 02 17 - 09:21:53 PM
1,19630406.0,51014.16638857105,20680206825.22958,2024 02 17 - 09:26:58 PM
1,19630406.0,51007.895304492624,20179656835.300953,2024 02 17 - 09:32:01 PM
1,19630406.0,50910.60654289104,20582512837.35667,2024 02 17 - 09:37:06 PM
1,19630481.0,50909.130999998975,20620080366.06726,2024 02 17 - 09:42:09 PM
1,19630481.0,50823.75678473569,20065297985.738552,2024 02 17 - 09:47:13 PM
