cmcRank,circulatingSupply,price,volume24h,fetched_on
73,1416219142.4086757,0.6885483423947737,88328892.41543248,2024 02 17 - 08:56:35 PM
73,1416219142.4086757,0.6937278285240023,87816234.70491973,2024 02 17 - 09:01:39 PM
73,1416219142.4086757,0.6981418890024648,87915976.93537597,2024 02 17 - 09:06:43 PM
73,1416219142.4086757,0.6970342248387686,87709769.19302537,2024 02 17 - 09:11:46 PM
73,1416219142.4086757,0.6975559959562396,87523252.73751152,2024 02 17 - 09:16:50 PM
73,1416219142.4086757,0.6951189270468993,87284355.65005165,2024 02 17 - 09:21:53 PM
73,1416219142.4086757,0.6958633509542684,87073650.55549335,2024 02 17 - 09:26:58 PM
73,1416219142.4086757,0.6974708522614145,86989998.2409328,2024 02 17 - 09:32:02 PM
73,1416219142.4086757,0.695908434327607,86301407.20184137,2024 02 17 - 09:37:06 PM
73,1416219142.4086757,0.6958306815645193,86063438.47916944,2024 02 17 - 09:42:09 PM
73,1416398936.9292238,0.6976535265663382,85041181.63385981,2024 02 17 - 09:47:13 PM
