cmcRank,circulatingSupply,price,volume24h,fetched_on
85,63333513043628.45,1.2577679846153848e-05,66877697.94349054,2024 02 17 - 08:56:35 PM
85,63333513043628.45,1.2668847284980977e-05,66608861.25158807,2024 02 17 - 09:01:39 PM
85,63333513043628.45,1.2708365991191085e-05,66687857.08091201,2024 02 17 - 09:06:43 PM
85,63333513043628.45,1.2681218644916e-05,66512775.24990739,2024 02 17 - 09:11:46 PM
85,63333513043628.45,1.2683756159285296e-05,66454385.75265407,2024 02 17 - 09:16:50 PM
85,63333513043628.45,1.26233356535635e-05,66349428.11314239,2024 02 17 - 09:21:53 PM
85,63333513043628.45,1.2646391112023299e-05,66388074.08564977,2024 02 17 - 09:26:58 PM
85,63333513043628.45,1.2669162307699163e-05,66354147.64531013,2024 02 17 - 09:32:02 PM
85,63333513043628.45,1.2648871597369157e-05,65722333.57570501,2024 02 17 - 09:37:06 PM
84,63333513043628.45,1.2708419297648901e-05,65822445.03693376,2024 02 17 - 09:42:09 PM
84,63333513043628.45,1.2695758559384551e-05,65422009.61807727,2024 02 17 - 09:47:13 PM
