cmcRank,circulatingSupply,price,volume24h,fetched_on
60,146000000.0,7.558990057953172,596659332.2856199,2024 02 09 - 08:56:35 AM
60,146000000.0,7.515324674903865,597301021.0902542,2024 02 09 - 09:00:52 AM
60,146000000.0,7.514645196063701,599251955.0313153,2024 02 09 - 09:05:38 AM
60,146000000.0,7.574333166784252,600099123.0712217,2024 02 09 - 09:10:26 AM
60,146000000.0,7.580977129247114,601009640.1725367,2024 02 09 - 09:14:41 AM
60,146000000.0,7.608583312728598,601511354.9133457,2024 02 09 - 09:19:09 AM
60,146000000.0,7.663928188964625,601990858.5003211,2024 02 09 - 09:24:04 AM
60,146000000.0,7.629962478707757,601986641.6893691,2024 02 09 - 09:28:45 AM
60,146000000.0,7.652059730640629,603148583.9672652,2024 02 09 - 09:33:31 AM
60,146000000.0,7.683302611254306,603511370.1725568,2024 02 09 - 09:38:26 AM
60,146000000.0,7.709417288907246,604067230.8847022,2024 02 09 - 09:43:07 AM
60,146000000.0,7.702106591312667,604003920.8136867,2024 02 09 - 09:48:09 AM
60,146000000.0,7.770432772398947,606793210.6731036,2024 02 09 - 09:52:27 AM
60,146000000.0,7.763284015686503,607341730.009681,2024 02 09 - 09:56:58 AM
59,146000000.0,7.830479231883189,608753733.2239755,2024 02 09 - 10:01:35 AM
59,146000000.0,7.832150423665425,612454293.8387573,2024 02 09 - 10:05:59 AM
59,146000000.0,7.859188067960706,613221991.7250078,2024 02 09 - 10:10:25 AM
59,146000000.0,7.943199408722451,616201881.3516791,2024 02 09 - 10:14:46 AM
59,146000000.0,7.873400532446544,618083070.1023655,2024 02 09 - 10:19:44 AM
59,146000000.0,7.826138592340137,618139489.8263391,2024 02 09 - 10:24:35 AM
59,146000000.0,7.82463742184093,618807646.8622861,2024 02 09 - 10:29:35 AM
59,146000000.0,7.824870639146047,618940095.9230632,2024 02 09 - 10:34:14 AM
59,146000000.0,7.8424210120263265,619468525.1068745,2024 02 09 - 10:38:31 AM
59,146000000.0,7.931525589159518,620228336.9173913,2024 02 09 - 10:43:04 AM
59,146000000.0,7.901964607801744,620353342.4244108,2024 02 09 - 10:47:31 AM
60,146000000.0,7.81878917098507,621555012.9718941,2024 02 09 - 10:51:47 AM
59,146000000.0,7.842712194021592,622763833.925855,2024 02 09 - 10:56:22 AM
59,146000000.0,7.82958924064419,622867178.3110085,2024 02 09 - 11:00:57 AM
59,146000000.0,7.824688777131901,623189353.7273445,2024 02 09 - 11:05:15 AM
60,146000000.0,7.802252032743328,623144220.3486744,2024 02 09 - 11:09:50 AM
60,146000000.0,7.796439603298553,623725309.2076652,2024 02 09 - 11:14:22 AM
60,146000000.0,7.784072540938511,623208926.0476811,2024 02 09 - 11:18:57 AM
60,146000000.0,7.749552822093706,623509929.6164998,2024 02 09 - 11:25:11 AM
60,146000000.0,7.754302761675195,623827231.6029989,2024 02 09 - 11:30:11 AM
60,146000000.0,7.739517549094903,624664916.2902128,2024 02 09 - 11:35:11 AM
60,146000000.0,7.802251345913226,625339238.9122753,2024 02 09 - 11:39:58 AM
60,146000000.0,7.817565705160422,625937242.9376478,2024 02 09 - 11:44:17 AM
60,146000000.0,7.840818999542582,626752736.7189305,2024 02 09 - 11:48:38 AM
59,146000000.0,7.852945428855908,627192683.591676,2024 02 09 - 11:52:54 AM
59,146000000.0,7.854867531339247,627005977.1961321,2024 02 09 - 11:57:27 AM
59,146000000.0,7.845231807252146,626824209.6962512,2024 02 09 - 12:02:08 PM
60,146000000.0,7.827633162993947,625078418.6027735,2024 02 09 - 12:07:07 PM
59,146000000.0,7.917585372403125,627135652.838827,2024 02 09 - 12:11:30 PM
59,146000000.0,7.888095765663574,627635349.5943395,2024 02 09 - 12:16:19 PM
59,146000000.0,7.92711794552308,628294701.3798219,2024 02 09 - 12:20:42 PM
59,146000000.0,7.902693258544715,628684460.9160919,2024 02 09 - 12:25:04 PM
59,146000000.0,7.892576271922567,628767758.4397452,2024 02 09 - 12:29:21 PM
59,146000000.0,7.923391919001641,629837832.8457294,2024 02 09 - 12:33:39 PM
59,146000000.0,7.905761244385567,630001794.1433347,2024 02 09 - 12:38:09 PM
59,146000000.0,7.921005484877751,628481100.4696022,2024 02 09 - 12:42:50 PM
59,146000000.0,8.023457683205981,629727740.1866118,2024 02 09 - 12:47:47 PM
59,146000000.0,8.17319561317508,635092780.1101559,2024 02 09 - 12:52:24 PM
59,146000000.0,8.168053944880091,635574808.1159399,2024 02 09 - 12:56:36 PM
59,146000000.0,8.151731832646389,636505217.8190098,2024 02 09 - 01:00:51 PM
59,146000000.0,8.174796243284863,638308909.5447761,2024 02 09 - 01:05:20 PM
59,146000000.0,8.222915461872034,638536387.4097847,2024 02 09 - 01:10:19 PM
59,146000000.0,8.09271536561229,641849538.757939,2024 02 09 - 01:14:56 PM
59,146000000.0,8.07556272549575,642125290.9389067,2024 02 09 - 01:19:47 PM
59,146000000.0,7.941495901632848,644265258.9401064,2024 02 09 - 01:25:09 PM
59,146000000.0,7.881606415695224,644023599.1613083,2024 02 09 - 01:29:46 PM
59,146000000.0,7.902539709669797,645335657.611457,2024 02 09 - 01:34:17 PM
59,146000000.0,7.916775275511804,644473915.281374,2024 02 09 - 01:38:37 PM
59,146000000.0,7.873770170641952,642372576.554703,2024 02 09 - 01:43:30 PM
59,146000000.0,7.919980555086186,640621681.1489667,2024 02 09 - 01:48:11 PM
59,146000000.0,7.882101585621032,640651480.4637544,2024 02 09 - 01:52:54 PM
59,146000000.0,7.880956356076471,638889319.1212581,2024 02 09 - 01:57:40 PM
59,146000000.0,7.872389829872295,636442797.6690242,2024 02 09 - 02:02:27 PM
59,146000000.0,7.814295485504632,636379646.5199722,2024 02 09 - 02:07:25 PM
60,146000000.0,7.791911648089828,632884615.1106997,2024 02 09 - 02:11:43 PM
60,146000000.0,7.762173622953733,632934287.0809098,2024 02 09 - 02:16:00 PM
60,146000000.0,7.675313305553758,634345627.1720355,2024 02 09 - 02:21:03 PM
60,146000000.0,7.71661646633134,634146534.2796761,2024 02 09 - 02:25:26 PM
60,146000000.0,7.710122558253048,634804652.7351551,2024 02 09 - 02:30:14 PM
60,146000000.0,7.7358238280370095,634240181.2302376,2024 02 09 - 02:35:02 PM
60,146000000.0,7.765446247616088,633722171.0304645,2024 02 09 - 02:39:42 PM
60,146000000.0,7.802509363222358,633741111.6083379,2024 02 09 - 02:44:04 PM
60,146000000.0,7.771894853864924,633941329.9945018,2024 02 09 - 02:48:39 PM
60,146000000.0,7.702896135000023,633602464.3402162,2024 02 09 - 02:52:51 PM
60,146000000.0,7.714061334626377,633854011.4294329,2024 02 09 - 02:57:16 PM
60,146000000.0,7.688458337111428,633207831.9370545,2024 02 09 - 03:01:30 PM
60,146000000.0,7.716072712796608,632924109.0919304,2024 02 09 - 03:06:08 PM
60,146000000.0,7.8060133892812695,634223142.3233413,2024 02 09 - 03:10:49 PM
59,146000000.0,7.816746438690784,633716833.4987495,2024 02 09 - 03:15:17 PM
59,146000000.0,7.841101104659969,633310196.3808659,2024 02 09 - 03:20:07 PM
59,146000000.0,7.864091457754302,632917674.5560685,2024 02 09 - 03:24:56 PM
59,146000000.0,7.854455878151515,632893472.7741985,2024 02 09 - 03:29:34 PM
59,146000000.0,7.83925604975751,632373343.7207085,2024 02 09 - 03:34:02 PM
59,146000000.0,7.82329705203918,631795085.1742619,2024 02 09 - 03:38:34 PM
60,146000000.0,7.825527298110301,630712140.4947116,2024 02 09 - 03:42:53 PM
59,146000000.0,7.838108758533285,629947891.0504282,2024 02 09 - 03:47:11 PM
60,146000000.0,7.8075029384864285,625259804.3258455,2024 02 09 - 03:51:58 PM
60,146000000.0,7.787276049386077,624093748.3532205,2024 02 09 - 03:56:57 PM
59,146000000.0,7.815577533579335,618817675.9670455,2024 02 09 - 04:01:36 PM
60,146000000.0,7.7461433328566045,614973962.7360206,2024 02 09 - 04:06:20 PM
60,146000000.0,7.699424821046163,611737200.9960866,2024 02 09 - 04:10:47 PM
60,146000000.0,7.683101755466535,609781207.7312443,2024 02 09 - 04:15:39 PM
60,146000000.0,7.670053837614069,608288193.2956568,2024 02 09 - 04:20:29 PM
60,146000000.0,7.700865331427896,606979346.2265577,2024 02 09 - 04:25:02 PM
60,146000000.0,7.739819978762156,605570025.8096399,2024 02 09 - 04:29:52 PM
60,146000000.0,7.738379540627382,604575929.306837,2024 02 09 - 04:34:38 PM
60,146000000.0,7.596464801582449,602831319.6591585,2024 02 09 - 04:38:56 PM
60,146000000.0,7.538299331477284,603509139.978119,2024 02 09 - 04:43:32 PM
60,146000000.0,7.516398164011982,605945467.6525424,2024 02 09 - 04:48:07 PM
60,146000000.0,7.513077566384818,605714455.5387955,2024 02 09 - 04:52:30 PM
60,146000000.0,7.518661000282681,605136544.0301179,2024 02 09 - 04:57:02 PM
60,146000000.0,7.429705197916496,604795362.9843235,2024 02 09 - 05:01:33 PM
60,146000000.0,7.415257634008529,602515665.063693,2024 02 09 - 05:06:24 PM
61,146000000.0,7.474370144663916,601404999.4770836,2024 02 09 - 05:10:45 PM
60,146000000.0,7.483076645447723,601601682.7627013,2024 02 09 - 05:15:16 PM
60,146000000.0,7.490287060495425,600161542.6076652,2024 02 09 - 05:19:55 PM
60,146000000.0,7.511640633125438,600112314.8744478,2024 02 09 - 05:24:39 PM
60,146000000.0,7.5780337525161645,601248241.7602035,2024 02 09 - 05:29:18 PM
60,146000000.0,7.551566535294118,600956930.4961584,2024 02 09 - 05:34:15 PM
60,146000000.0,7.612770012959864,603253277.3314873,2024 02 09 - 05:38:44 PM
60,146000000.0,7.708516581340022,605115962.8380659,2024 02 09 - 05:43:37 PM
60,146000000.0,7.715556583858223,604933648.1381775,2024 02 09 - 05:48:18 PM
60,146000000.0,7.6699409914505585,603420435.4237556,2024 02 09 - 05:52:34 PM
60,146000000.0,7.654499720504298,603560253.74476,2024 02 09 - 05:57:33 PM
60,146000000.0,7.689955029482058,603131276.780345,2024 02 09 - 06:02:23 PM
60,146000000.0,7.6543775324638315,601811085.1078426,2024 02 09 - 06:06:43 PM
60,146000000.0,7.577386367482059,597460403.0306921,2024 02 09 - 06:11:25 PM
60,146000000.0,7.572278510190564,593381218.2530599,2024 02 09 - 06:15:58 PM
60,146000000.0,7.54597857319901,585762871.1743362,2024 02 09 - 06:20:16 PM
60,146000000.0,7.506051105502455,583817968.1795528,2024 02 09 - 06:25:12 PM
60,146000000.0,7.522181128488351,579793534.604867,2024 02 09 - 06:30:13 PM
60,146000000.0,7.500534685962049,576571016.8806735,2024 02 09 - 06:34:26 PM
60,146000000.0,7.538647598062999,574684972.5732265,2024 02 09 - 06:38:47 PM
61,146000000.0,7.515484414276532,569654928.7432371,2024 02 09 - 06:43:47 PM
60,146000000.0,7.604423297187628,569367230.7438745,2024 02 09 - 06:48:13 PM
60,146000000.0,7.62332085308677,568787126.9743737,2024 02 09 - 06:53:09 PM
60,146000000.0,7.6960184724676415,567256244.645587,2024 02 09 - 06:57:58 PM
60,146000000.0,7.700053151972525,566501164.0498716,2024 02 09 - 07:02:23 PM
60,146000000.0,7.665107969177762,565667898.6491108,2024 02 09 - 07:07:04 PM
60,146000000.0,7.686791224238074,563485098.5353146,2024 02 09 - 07:11:55 PM
60,146000000.0,7.6875036469294775,561991567.6809858,2024 02 09 - 07:16:10 PM
60,146000000.0,7.660362052632743,560700754.0184543,2024 02 09 - 07:20:53 PM
60,146000000.0,7.609907968825839,558363386.5841812,2024 02 09 - 07:25:26 PM
60,146000000.0,7.613784612337474,558078329.5328361,2024 02 09 - 07:30:02 PM
60,146000000.0,7.61137565243779,557721020.1254836,2024 02 09 - 07:34:50 PM
60,146000000.0,7.656671643561854,557370495.3826239,2024 02 09 - 07:39:50 PM
60,146000000.0,7.632077179078097,556394070.0927718,2024 02 09 - 07:44:40 PM
60,146000000.0,7.633354800696252,555800072.3276858,2024 02 09 - 07:49:03 PM
60,146000000.0,7.551511553024032,555452132.571072,2024 02 09 - 07:53:37 PM
60,146000000.0,7.591675693303555,554453774.353136,2024 02 09 - 07:58:14 PM
60,146000000.0,7.655129741246447,554514571.3660353,2024 02 09 - 08:02:32 PM
60,146000000.0,7.7988716224751204,557630912.0802242,2024 02 09 - 08:07:31 PM
60,146000000.0,7.775173906576352,557703095.1820363,2024 02 09 - 08:11:53 PM
60,146000000.0,7.773240556476926,558379437.3465482,2024 02 09 - 08:16:25 PM
60,146000000.0,7.747144107025683,558169757.1179527,2024 02 09 - 08:21:09 PM
60,146000000.0,7.7058427494563,557648218.538328,2024 02 09 - 08:25:36 PM
60,146000000.0,7.699844156873234,556984632.0898117,2024 02 09 - 08:29:58 PM
60,146000000.0,7.707645749854883,556795185.4282591,2024 02 09 - 08:34:18 PM
