cmcRank,circulatingSupply,price,volume24h,fetched_on
25,145599227.9873668,25.683428954281407,201416075.37586474,2024 02 17 - 08:56:35 PM
25,145599227.9873668,25.74938462471984,201607568.5713155,2024 02 17 - 09:01:39 PM
25,145599227.9873668,25.80631624164908,202297375.6972308,2024 02 17 - 09:06:43 PM
25,145599227.9873668,25.770471727895547,202264401.21146825,2024 02 17 - 09:11:46 PM
25,145599227.9873668,25.805932760393528,202499622.00287628,2024 02 17 - 09:16:50 PM
25,145599227.9873668,25.761633218441244,202109070.9954559,2024 02 17 - 09:21:53 PM
25,145599227.9873668,25.77499630443084,201988094.60173443,2024 02 17 - 09:26:58 PM
25,145599227.9873668,25.80320261190821,201823795.6389013,2024 02 17 - 09:32:01 PM
25,145599227.9873668,25.76063015627314,200243522.9924572,2024 02 17 - 09:37:06 PM
25,145599227.9873668,25.759609400624782,199112364.6394093,2024 02 17 - 09:42:09 PM
25,145599227.9873668,25.739541810177858,197974517.3508155,2024 02 17 - 09:47:13 PM
