cmcRank,circulatingSupply,price,volume24h,fetched_on
96,27799861148.42234,0.02551805636496057,51669715.04616627,2024 02 17 - 08:56:35 PM
96,27799861148.42234,0.025641426919543235,51678027.03532293,2024 02 17 - 09:01:39 PM
97,27799861148.42234,0.025732988011578802,51610720.3066866,2024 02 17 - 09:06:43 PM
96,27799861148.42234,0.025690313103149856,51483858.83639541,2024 02 17 - 09:11:46 PM
96,27799861148.42234,0.02574161249879421,51312059.92828067,2024 02 17 - 09:16:50 PM
96,27799861148.42234,0.02571415668858399,51319451.36466406,2024 02 17 - 09:21:53 PM
96,27799861148.42234,0.025724309669673002,51206240.37708744,2024 02 17 - 09:26:58 PM
96,27799861148.42234,0.025771435075002798,51151359.37969778,2024 02 17 - 09:32:02 PM
96,27799861148.42234,0.02576427052944591,51053398.41039427,2024 02 17 - 09:37:06 PM
96,27799861148.42234,0.02578200442589096,50984987.62594057,2024 02 17 - 09:42:09 PM
96,27799861148.42234,0.025739979327079852,50775687.20612042,2024 02 17 - 09:47:13 PM
