cmcRank,circulatingSupply,price,volume24h,fetched_on
31,88392222.33,33.89316513730824,110039985.72001457,2024 02 09 - 08:56:35 AM
31,88392222.33,33.89037076065452,110171779.13753958,2024 02 09 - 09:00:52 AM
31,88392222.33,33.82131633443576,110537406.13855714,2024 02 09 - 09:05:38 AM
31,88392222.33,33.799916531525,110790537.76807962,2024 02 09 - 09:10:26 AM
31,88392222.33,33.96036086356367,111417721.71254376,2024 02 09 - 09:14:41 AM
31,88392222.33,34.02601628904366,111825868.93741964,2024 02 09 - 09:19:09 AM
31,88392222.33,34.026761485492,112653649.29275672,2024 02 09 - 09:24:04 AM
31,88392222.33,34.013268708122965,112692770.91311142,2024 02 09 - 09:28:45 AM
31,88392222.33,33.95164413750671,113045575.81237741,2024 02 09 - 09:33:31 AM
31,88392222.33,33.935194201725196,113375028.7684573,2024 02 09 - 09:38:26 AM
31,88392222.33,34.03239066506583,113585069.64360543,2024 02 09 - 09:43:07 AM
31,88392222.33,33.98764113783806,113618355.68704425,2024 02 09 - 09:48:09 AM
31,88392222.33,33.83731363776645,113674296.69333687,2024 02 09 - 09:52:27 AM
31,88392222.33,33.64391677701861,114196408.83953966,2024 02 09 - 09:56:58 AM
31,88392222.33,33.675505621004035,114507490.13986759,2024 02 09 - 10:01:35 AM
31,88392222.33,33.599018915805196,114577047.63611612,2024 02 09 - 10:05:59 AM
31,88392222.33,33.58297062896686,114623467.90484026,2024 02 09 - 10:10:25 AM
31,88392222.33,33.63107011033477,114736981.08976874,2024 02 09 - 10:14:46 AM
31,88392222.33,33.64641532548491,114811781.81433538,2024 02 09 - 10:19:44 AM
31,88392222.33,33.59938377583012,114725800.33329761,2024 02 09 - 10:24:35 AM
31,88392222.33,33.648262413567195,114827397.5059932,2024 02 09 - 10:29:35 AM
31,88392222.33,33.67895065180248,114663387.57837032,2024 02 09 - 10:34:14 AM
31,88392222.33,33.61025751300594,114882845.5353275,2024 02 09 - 10:38:31 AM
31,88392222.33,33.59922900273519,114933583.4762599,2024 02 09 - 10:43:04 AM
31,88392222.33,33.5762909662393,114981841.59191868,2024 02 09 - 10:47:31 AM
31,88392222.33,33.54060972556239,115169473.01993324,2024 02 09 - 10:51:47 AM
31,88392222.33,33.69674699940211,115547500.57728425,2024 02 09 - 10:56:22 AM
31,88392222.33,33.65831486434044,115549750.97284564,2024 02 09 - 11:00:57 AM
31,88392222.33,33.66381661164662,115882441.38713333,2024 02 09 - 11:05:15 AM
31,88392222.33,33.726096292935914,115957036.01598223,2024 02 09 - 11:09:50 AM
31,88392222.33,33.74532122818934,115967823.40593396,2024 02 09 - 11:14:22 AM
31,88392222.33,33.744808676647025,115976333.24720109,2024 02 09 - 11:18:57 AM
31,88392222.33,33.7663005568734,116034047.11090505,2024 02 09 - 11:25:11 AM
31,88392222.33,33.726349600364415,116038550.24227257,2024 02 09 - 11:30:11 AM
31,88392222.33,33.7127948119016,116049855.56411281,2024 02 09 - 11:35:11 AM
31,88392222.33,33.6339149724404,115993492.96373637,2024 02 09 - 11:39:58 AM
31,88392222.33,33.614701799764696,116178997.28470826,2024 02 09 - 11:44:17 AM
31,88392222.33,33.701947228183265,116655074.9527402,2024 02 09 - 11:48:38 AM
31,88392222.33,33.74025289057918,116856893.15273096,2024 02 09 - 11:52:54 AM
31,88392222.33,33.8233941983361,117100726.20882654,2024 02 09 - 11:57:27 AM
31,88392222.33,33.851140088685774,117545130.08656666,2024 02 09 - 12:02:08 PM
31,88392222.33,33.837001567328855,118115375.96626891,2024 02 09 - 12:07:07 PM
31,88392222.33,33.97145440294861,118713925.09299812,2024 02 09 - 12:11:30 PM
31,88392222.33,34.03718006885645,119425729.56020103,2024 02 09 - 12:16:19 PM
30,88392222.33,34.2055476732858,120785414.35600992,2024 02 09 - 12:20:42 PM
30,88392222.33,34.22932347738124,121313962.64252523,2024 02 09 - 12:25:04 PM
30,88392222.33,34.22761292830475,121294666.84671839,2024 02 09 - 12:29:21 PM
30,88392222.33,34.28218455248025,121660306.57882191,2024 02 09 - 12:33:39 PM
30,88392222.33,34.45558607496476,122318563.82747886,2024 02 09 - 12:38:09 PM
30,88392222.33,34.333065067929866,122440576.4791602,2024 02 09 - 12:42:50 PM
30,88392222.33,34.28053679989849,122520341.14343953,2024 02 09 - 12:47:47 PM
30,88392222.33,34.44032128874334,123024022.59139092,2024 02 09 - 12:52:24 PM
30,88392222.33,34.473550040910915,123481990.84495713,2024 02 09 - 12:56:36 PM
30,88392222.33,34.5285165062426,123670995.8304264,2024 02 09 - 01:00:51 PM
30,88392222.33,34.410956949633245,123807329.38538602,2024 02 09 - 01:05:20 PM
30,88392222.33,34.4504152895688,124308130.73877312,2024 02 09 - 01:10:19 PM
30,88392222.33,34.58753974782865,125191630.50572324,2024 02 09 - 01:14:56 PM
30,88392222.33,34.732353804424946,126826751.23144841,2024 02 09 - 01:19:47 PM
30,88392222.33,34.691283562578256,127380842.23871669,2024 02 09 - 01:25:09 PM
30,88392222.33,34.709334425146075,127544596.56203222,2024 02 09 - 01:29:46 PM
30,88392222.33,34.805922198911816,128099442.69900805,2024 02 09 - 01:34:17 PM
30,88392222.33,34.84404018769918,129168115.14742802,2024 02 09 - 01:38:37 PM
30,88392222.33,34.856368010068756,129793924.45945162,2024 02 09 - 01:43:30 PM
30,88392222.33,34.76507747603432,130606589.66379873,2024 02 09 - 01:48:11 PM
30,88392222.33,34.81368777039105,131857802.49098189,2024 02 09 - 01:52:54 PM
30,88392222.33,34.84937710805277,132251300.56472196,2024 02 09 - 01:57:40 PM
30,88392222.33,34.79850095250448,132779564.51592673,2024 02 09 - 02:02:27 PM
30,88392222.33,34.6978742331189,133008202.29857416,2024 02 09 - 02:07:25 PM
30,88392222.33,34.66763203729345,133764413.96121778,2024 02 09 - 02:11:43 PM
30,88392222.33,34.687666871831254,133791174.04468219,2024 02 09 - 02:16:00 PM
30,88392222.33,34.742287706550194,134935716.21602747,2024 02 09 - 02:21:03 PM
30,88392222.33,34.78343610531786,134574046.25505826,2024 02 09 - 02:25:26 PM
30,88392222.33,34.7623172985908,134953937.68258476,2024 02 09 - 02:30:14 PM
30,88392222.33,34.84952708583718,135150327.7392814,2024 02 09 - 02:35:02 PM
30,88392222.33,34.78687480193157,135404541.27651116,2024 02 09 - 02:39:42 PM
30,88392222.33,34.74522940048198,135449005.62552106,2024 02 09 - 02:44:04 PM
30,88392222.33,34.6206315954222,135267400.6833526,2024 02 09 - 02:48:39 PM
30,88392222.33,34.55603669061832,136023471.31991515,2024 02 09 - 02:52:51 PM
30,88392222.33,34.59214577239128,136282358.19837964,2024 02 09 - 02:57:16 PM
30,88392222.33,34.63368068630129,136863865.0507969,2024 02 09 - 03:01:30 PM
30,88392222.33,34.68475095473275,137225123.9348838,2024 02 09 - 03:06:08 PM
30,88392222.33,34.7524023822157,137400127.6282235,2024 02 09 - 03:10:49 PM
30,88392222.33,34.735548220792445,137402888.5120213,2024 02 09 - 03:15:17 PM
30,88392222.33,34.64591349710102,137689839.72967678,2024 02 09 - 03:20:07 PM
30,88392222.33,34.622318148344796,138065644.77610293,2024 02 09 - 03:24:56 PM
30,88392222.33,34.77048873176617,138738967.36476052,2024 02 09 - 03:29:34 PM
29,88392222.33,34.98718294478061,140699985.08748445,2024 02 09 - 03:34:02 PM
29,88392222.33,35.27176491315658,142699308.24539274,2024 02 09 - 03:38:34 PM
29,88392222.33,35.31704850376,143978483.95304385,2024 02 09 - 03:42:53 PM
29,88392222.33,35.34643479267302,145098834.15261087,2024 02 09 - 03:47:11 PM
29,88392222.33,35.311615745982834,145087136.4309842,2024 02 09 - 03:51:58 PM
29,88392222.33,35.315787075974,145246022.23294312,2024 02 09 - 03:56:57 PM
29,88392222.33,35.328907318560944,146085140.27914917,2024 02 09 - 04:01:36 PM
29,88392222.33,35.2635966538001,146314346.04998305,2024 02 09 - 04:06:20 PM
29,88392222.33,35.19370458565975,146314522.61555824,2024 02 09 - 04:10:47 PM
29,88392222.33,35.11985720122894,146458326.17573068,2024 02 09 - 04:15:39 PM
29,88392222.33,35.08852108027881,146961332.9108585,2024 02 09 - 04:20:29 PM
29,88392222.33,35.25429665210829,147461102.07987678,2024 02 09 - 04:25:02 PM
29,88392222.33,35.264874871419146,147766471.78536004,2024 02 09 - 04:29:52 PM
29,88392222.33,35.23563394276263,147685753.73384914,2024 02 09 - 04:34:38 PM
29,88392222.33,35.176568214620254,147669040.11338037,2024 02 09 - 04:38:56 PM
29,88392222.33,35.04121865271001,147976580.89112425,2024 02 09 - 04:43:32 PM
29,88392222.33,34.99527066392758,148700287.13758683,2024 02 09 - 04:48:07 PM
29,88392222.33,35.01534011241821,148919589.9222268,2024 02 09 - 04:52:30 PM
29,88392222.33,34.98706198835475,149695401.7876327,2024 02 09 - 04:57:02 PM
29,88392222.33,35.00713045188091,150467170.9884648,2024 02 09 - 05:01:33 PM
29,88392222.33,35.074189257067694,150596852.16917196,2024 02 09 - 05:06:24 PM
29,88392222.33,35.15940670738527,150994275.7556421,2024 02 09 - 05:10:45 PM
29,88392222.33,35.18957960702025,151121972.6151454,2024 02 09 - 05:15:16 PM
29,88392222.33,35.0139186413814,152262570.66764492,2024 02 09 - 05:19:55 PM
29,88392222.33,35.05806310983666,152538162.31827617,2024 02 09 - 05:24:39 PM
29,88392222.33,35.22473934228454,153342537.38163507,2024 02 09 - 05:29:18 PM
29,88392222.33,35.26337545382459,153686141.23913682,2024 02 09 - 05:34:15 PM
29,88392222.33,35.31748616978444,154301097.84523165,2024 02 09 - 05:38:44 PM
29,88392222.33,35.25862438272573,156899812.42887142,2024 02 09 - 05:43:37 PM
29,88392222.33,35.22429788979703,156846530.9725634,2024 02 09 - 05:48:18 PM
29,88392222.33,35.23524590428701,158021364.90327176,2024 02 09 - 05:52:34 PM
30,88392222.33,35.15080225945457,157990973.83368203,2024 02 09 - 05:57:33 PM
30,88392222.33,34.97896069784684,159432459.2624915,2024 02 09 - 06:02:23 PM
30,88392222.33,35.15758269246074,160219938.17972526,2024 02 09 - 06:06:43 PM
30,88392222.33,35.25702863674683,160849648.238272,2024 02 09 - 06:11:25 PM
30,88392222.33,35.285748725985705,161096898.92500374,2024 02 09 - 06:15:58 PM
30,88392222.33,35.26001991124606,161841268.93955708,2024 02 09 - 06:20:16 PM
30,88392222.33,35.104730894555715,162193903.68187168,2024 02 09 - 06:25:12 PM
30,88392222.33,35.17884512652092,163001826.81063363,2024 02 09 - 06:30:13 PM
30,88392222.33,35.09657443019117,162873552.00317276,2024 02 09 - 06:34:26 PM
