cmcRank,circulatingSupply,price,volume24h,fetched_on
71,96496827.28902875,10.330059545714334,1652909.35762131,2024 02 17 - 08:56:35 PM
72,96496827.28902875,10.341409690992554,1662622.91534528,2024 02 17 - 09:01:39 PM
72,96496827.28902875,10.37459613369696,1666503.11741811,2024 02 17 - 09:06:43 PM
71,96496827.28902875,10.373989639965675,1675052.54926688,2024 02 17 - 09:11:46 PM
72,96496827.28902875,10.378196569771442,1669449.51324824,2024 02 17 - 09:16:50 PM
71,96496827.28902875,10.37586821929265,1670572.21128351,2024 02 17 - 09:21:53 PM
72,96496827.28902875,10.364548605406364,1668788.29045008,2024 02 17 - 09:26:58 PM
72,96496827.28902875,10.367048464950612,1669163.39907012,2024 02 17 - 09:32:02 PM
71,96496827.28902875,10.375489895141222,1625121.1855784,2024 02 17 - 09:37:06 PM
72,96496827.28902875,10.37124006654619,1630025.91316592,2024 02 17 - 09:42:09 PM
72,96496827.28902875,10.35298380202776,1620240.42107099,2024 02 17 - 09:47:13 PM
