cmcRank,circulatingSupply,price,volume24h,fetched_on
83,6713599876.0,0.1191742085366913,48381669.31464751,2024 02 09 - 08:56:36 AM
83,6713599876.0,0.1193945983760773,48217877.34347435,2024 02 09 - 09:00:52 AM
83,6713599876.0,0.11930830216323693,48269249.46122275,2024 02 09 - 09:05:38 AM
83,6713599876.0,0.1193814239065681,48033457.43413106,2024 02 09 - 09:10:26 AM
83,6713599876.0,0.11904474276577194,47888272.14951551,2024 02 09 - 09:14:41 AM
83,6713599876.0,0.11926383114007535,47974244.44252952,2024 02 09 - 09:19:09 AM
83,6713599876.0,0.11917433030011614,47573954.8904022,2024 02 09 - 09:24:04 AM
83,6713599876.0,0.1192090708129626,47567525.72746694,2024 02 09 - 09:28:45 AM
83,6713599876.0,0.11926024846816836,47333017.5381981,2024 02 09 - 09:33:31 AM
83,6713599876.0,0.11973643275257327,47990023.67352176,2024 02 09 - 09:38:26 AM
83,6713599876.0,0.11962215756666104,48166694.08402357,2024 02 09 - 09:43:07 AM
83,6713599876.0,0.11953001691222215,48122127.82124519,2024 02 09 - 09:48:09 AM
83,6713599876.0,0.11932465695993122,48138142.12257446,2024 02 09 - 09:52:27 AM
83,6713599876.0,0.11931249296371275,48137156.98479274,2024 02 09 - 09:56:58 AM
83,6713599876.0,0.11925128518111268,48133160.44318842,2024 02 09 - 10:01:35 AM
83,6713599876.0,0.11914045235734633,48136773.12813691,2024 02 09 - 10:05:59 AM
83,6713599876.0,0.11902822530230768,48098292.08779953,2024 02 09 - 10:10:25 AM
83,6713599876.0,0.11901391637649615,48088301.7527438,2024 02 09 - 10:14:46 AM
83,6713599876.0,0.1189057997796699,47988769.15518858,2024 02 09 - 10:19:44 AM
83,6713599876.0,0.11872666748296552,48137036.96305921,2024 02 09 - 10:24:35 AM
83,6713599876.0,0.11879953138795006,48155073.50274647,2024 02 09 - 10:29:35 AM
83,6713599876.0,0.1189974928573783,48204301.09799398,2024 02 09 - 10:34:14 AM
83,6713599876.0,0.11882678175491478,48236179.70034799,2024 02 09 - 10:38:31 AM
83,6713599876.0,0.11859070027750436,48293424.23014153,2024 02 09 - 10:43:04 AM
84,6713599876.0,0.11847867994568537,48331714.12761366,2024 02 09 - 10:47:31 AM
84,6713599876.0,0.11836084777306297,48209313.85341562,2024 02 09 - 10:51:48 AM
84,6713599876.0,0.11834721798381957,48156427.29702787,2024 02 09 - 10:56:22 AM
84,6713599876.0,0.11809703166904113,48051316.09249868,2024 02 09 - 11:00:57 AM
84,6713599876.0,0.11802607269053743,48009744.29487728,2024 02 09 - 11:05:15 AM
84,6713599876.0,0.11832437846166312,48122472.0921896,2024 02 09 - 11:09:50 AM
84,6713599876.0,0.11834487583235939,48164192.91028816,2024 02 09 - 11:14:22 AM
