cmcRank,circulatingSupply,price,volume24h,fetched_on
13,1276690241.0127625,7.073291176723923,223389277.3792531,2024 02 09 - 08:56:35 AM
13,1276690241.0127625,7.065484045289061,223642449.55476138,2024 02 09 - 09:00:52 AM
13,1276690241.0127625,7.061284419759367,224211767.6578136,2024 02 09 - 09:05:38 AM
13,1276690241.0127625,7.061006578935632,224400898.31373933,2024 02 09 - 09:10:26 AM
13,1276690241.0127625,7.057497819533692,224661163.48217022,2024 02 09 - 09:14:41 AM
13,1276690241.0127625,7.058167210595892,224827975.5108434,2024 02 09 - 09:19:09 AM
13,1276690241.0127625,7.062070994208744,224708453.0794151,2024 02 09 - 09:24:04 AM
13,1276690241.0127625,7.0560244413086215,224711458.55661982,2024 02 09 - 09:28:45 AM
13,1276690241.0127625,7.052505999908763,224026759.57290795,2024 02 09 - 09:33:31 AM
13,1276690241.0127625,7.061217175644532,223826632.56290796,2024 02 09 - 09:38:26 AM
13,1276692585.1757505,7.0671946907847625,223533863.7667902,2024 02 09 - 09:43:07 AM
13,1276692585.1757505,7.063479318383847,223403540.05112794,2024 02 09 - 09:48:09 AM
13,1276692585.1757505,7.05534696293454,223523977.91248706,2024 02 09 - 09:52:27 AM
13,1276692585.1757505,7.048543233672457,223773779.65089813,2024 02 09 - 09:56:58 AM
13,1276692585.1757505,7.046970822972461,223844849.61471957,2024 02 09 - 10:01:35 AM
13,1276692585.1757505,7.051196293737568,223680220.27359217,2024 02 09 - 10:05:59 AM
13,1276692585.1757505,7.049622852050608,223646795.51908,2024 02 09 - 10:10:25 AM
13,1276692585.1757505,7.053281010631557,223623373.5404847,2024 02 09 - 10:14:46 AM
13,1276692585.1757505,7.060095353112,223808914.17194873,2024 02 09 - 10:19:44 AM
13,1276692585.1757505,7.05409324825151,223726861.2920919,2024 02 09 - 10:24:35 AM
13,1276692585.1757505,7.0520759817908525,223993551.6924165,2024 02 09 - 10:29:35 AM
