cmcRank,circulatingSupply,price,volume24h,fetched_on
88,295618086.30836403,2.4562238409633084,78072237.23729032,2024 02 09 - 08:56:36 AM
88,295618086.30836403,2.455785939752486,77634429.38908595,2024 02 09 - 09:00:52 AM
88,295618086.30836403,2.4529917294677155,77352043.66210204,2024 02 09 - 09:05:38 AM
88,295618086.30836403,2.452676781703845,76668748.2246686,2024 02 09 - 09:10:26 AM
88,295618086.30836403,2.451523590961513,76293949.02102931,2024 02 09 - 09:14:41 AM
88,295618086.30836403,2.447447616961782,75998201.55052958,2024 02 09 - 09:19:09 AM
88,295618086.30836403,2.44175377834172,75723433.14826581,2024 02 09 - 09:24:04 AM
89,295618086.30836403,2.43874635989515,75570987.70104381,2024 02 09 - 09:28:45 AM
89,295618086.30836403,2.437473481882808,75032902.35974306,2024 02 09 - 09:33:31 AM
89,295618086.30836403,2.43680120061077,74683430.79688543,2024 02 09 - 09:38:26 AM
89,295631577.2975055,2.4379354615344546,74124498.49407291,2024 02 09 - 09:43:07 AM
89,295631577.2975055,2.4381407333911724,73960493.72074713,2024 02 09 - 09:48:09 AM
89,295631577.2975055,2.438236019696678,73756502.07852796,2024 02 09 - 09:52:27 AM
89,295631577.2975055,2.4393886894200776,73473479.49253747,2024 02 09 - 09:56:58 AM
89,295631577.2975055,2.4366496967215405,72785360.6283824,2024 02 09 - 10:01:35 AM
89,295631577.2975055,2.433032912616983,72452128.49288628,2024 02 09 - 10:05:59 AM
89,295631577.2975055,2.4237318814124014,72372653.26789428,2024 02 09 - 10:10:25 AM
89,295631577.2975055,2.426966670002059,72273807.08566652,2024 02 09 - 10:14:46 AM
89,295631577.2975055,2.435867651232443,71987429.68490691,2024 02 09 - 10:19:44 AM
89,295631577.2975055,2.440673914889369,72074952.06141508,2024 02 09 - 10:24:35 AM
89,295631577.2975055,2.4393385307576576,71935522.81976661,2024 02 09 - 10:29:35 AM
89,295631577.2975055,2.4385959409213727,71515541.48867157,2024 02 09 - 10:34:14 AM
89,295631577.2975055,2.437244520965118,71253825.32693392,2024 02 09 - 10:38:31 AM
89,295631577.2975055,2.4379755811912056,71004973.76220945,2024 02 09 - 10:43:04 AM
89,295631577.2975055,2.4367033200715364,70447493.37365185,2024 02 09 - 10:47:31 AM
89,295631577.2975055,2.4346666805054253,70019284.31552817,2024 02 09 - 10:51:48 AM
89,295631577.2975055,2.4360947731840596,69922752.49633342,2024 02 09 - 10:56:22 AM
89,295631577.2975055,2.43705514889599,69688370.35580462,2024 02 09 - 11:00:57 AM
89,295631577.2975055,2.439363288060262,69530829.71306518,2024 02 09 - 11:05:15 AM
88,295631577.2975055,2.4442560672514526,69244045.92608798,2024 02 09 - 11:09:50 AM
88,295631577.2975055,2.445264433915243,69240759.23127355,2024 02 09 - 11:14:22 AM
88,295631577.2975055,2.4453879277284543,69118224.76804303,2024 02 09 - 11:18:57 AM
88,295631577.2975055,2.444370311559534,68786219.41840138,2024 02 09 - 11:25:11 AM
88,295631577.2975055,2.445150789355746,68732674.453372,2024 02 09 - 11:30:11 AM
89,295631577.2975055,2.436940582954835,68594974.83158605,2024 02 09 - 11:35:11 AM
89,295631577.2975055,2.439398302855271,68536849.1703741,2024 02 09 - 11:39:58 AM
89,295641445.0341684,2.439258822055462,68658881.36866367,2024 02 09 - 11:44:17 AM
89,295641445.0341684,2.438213474787797,68383018.4056428,2024 02 09 - 11:48:38 AM
89,295641445.0341684,2.437103700000549,68121450.52869353,2024 02 09 - 11:52:54 AM
89,295641445.0341684,2.4410637557193593,67857045.21857509,2024 02 09 - 11:57:27 AM
88,295641445.0341684,2.442213845220243,67740870.16011511,2024 02 09 - 12:02:08 PM
88,295641445.0341684,2.4437789332885247,67479069.83621196,2024 02 09 - 12:07:07 PM
88,295641445.0341684,2.4469121562842053,67443482.90358381,2024 02 09 - 12:11:30 PM
88,295641445.0341684,2.444522177216331,67439215.54084648,2024 02 09 - 12:16:19 PM
88,295641445.0341684,2.4501194745562547,67400429.89928752,2024 02 09 - 12:20:42 PM
88,295641445.0341684,2.447635190948082,67310814.11776367,2024 02 09 - 12:25:04 PM
88,295641445.0341684,2.4446361871302225,67276895.2840421,2024 02 09 - 12:29:21 PM
88,295641445.0341684,2.450051247875995,66972204.75728582,2024 02 09 - 12:33:39 PM
88,295641445.0341684,2.448499759290327,66821895.21786371,2024 02 09 - 12:38:09 PM
88,295641445.0341684,2.4442159958776704,66592635.28980737,2024 02 09 - 12:42:50 PM
88,295641445.0341684,2.4474233434360597,66558959.6278534,2024 02 09 - 12:47:47 PM
88,295641445.0341684,2.4502438698591855,66555458.19964402,2024 02 09 - 12:52:24 PM
87,295641445.0341684,2.4588305327933564,66593085.9689301,2024 02 09 - 12:56:36 PM
87,295641445.0341684,2.4649832306819532,66566644.95861056,2024 02 09 - 01:00:51 PM
87,295641445.0341684,2.4641361297245385,66297126.85313955,2024 02 09 - 01:05:20 PM
87,295641445.0341684,2.4677714228649457,66172987.13673143,2024 02 09 - 01:10:19 PM
87,295641445.0341684,2.4683118770783103,66153619.9469284,2024 02 09 - 01:14:56 PM
87,295641445.0341684,2.465639554731694,66164535.92730779,2024 02 09 - 01:19:47 PM
87,295641445.0341684,2.4617125251556633,66111265.4064612,2024 02 09 - 01:25:09 PM
87,295641445.0341684,2.464534028282712,66037671.06969899,2024 02 09 - 01:29:46 PM
87,295641445.0341684,2.466205412694246,66005947.21056531,2024 02 09 - 01:34:17 PM
