cmcRank,circulatingSupply,price,volume24h,fetched_on
68,2100000000000.0,0.0005030743746894858,81926735.45554191,2024 02 17 - 08:56:35 PM
68,2100000000000.0,0.0005038913359870929,81769590.04847562,2024 02 17 - 09:01:39 PM
69,2100000000000.0,0.0005026234631041382,81473140.70443468,2024 02 17 - 09:06:43 PM
69,2100000000000.0,0.0005031292166937821,81456747.9750647,2024 02 17 - 09:11:46 PM
68,2100000000000.0,0.0005059870205826539,81092327.5787309,2024 02 17 - 09:16:50 PM
68,2100000000000.0,0.0005066023989126662,80480662.34820163,2024 02 17 - 09:21:53 PM
68,2100000000000.0,0.0005072456471968982,80330957.24790932,2024 02 17 - 09:26:58 PM
68,2100000000000.0,0.0005089347971089483,80344907.9313009,2024 02 17 - 09:32:02 PM
68,2100000000000.0,0.0005077942959945954,79731549.68905686,2024 02 17 - 09:37:06 PM
68,2100000000000.0,0.0005074313128990185,78805953.25389539,2024 02 17 - 09:42:09 PM
69,2100000000000.0,0.0005059595025811272,78019102.4315288,2024 02 17 - 09:47:13 PM
