cmcRank,circulatingSupply,price,volume24h,fetched_on
31,28449268637.63971,0.11239978152463743,69425432.06875952,2024 02 17 - 08:56:35 PM
32,28449268637.63971,0.11273018898191073,69373747.94837473,2024 02 17 - 09:01:39 PM
32,28449268637.63971,0.11302102939317982,69445335.89204216,2024 02 17 - 09:06:43 PM
32,28449268637.63971,0.1129172690853024,69503739.2492915,2024 02 17 - 09:11:46 PM
32,28449268637.63971,0.11306267187659917,69501076.91772068,2024 02 17 - 09:16:50 PM
31,28449268637.63971,0.11301186233615988,69462523.81398131,2024 02 17 - 09:21:53 PM
31,28449268637.63971,0.11316186328956337,69429887.85365325,2024 02 17 - 09:26:58 PM
31,28449268637.63971,0.1132138431071195,69489002.87586193,2024 02 17 - 09:32:02 PM
31,28449268637.63971,0.11317337040253699,68597044.24171759,2024 02 17 - 09:37:06 PM
31,28449268637.63971,0.11324832351651282,68548085.35965015,2024 02 17 - 09:42:09 PM
31,28449267137.595318,0.113336041659218,68408372.94345482,2024 02 17 - 09:47:13 PM
