cmcRank,circulatingSupply,price,volume24h,fetched_on
15,3467006379.5295124,2.185433484358487,33824129.81595808,2024 02 17 - 08:56:35 PM
15,3467006379.5295124,2.1881474777680614,33851787.63865253,2024 02 17 - 09:01:39 PM
15,3467006379.5295124,2.1899572589409173,33899809.72007804,2024 02 17 - 09:06:43 PM
15,3467006379.5295124,2.1902539690139413,33883641.14721215,2024 02 17 - 09:11:46 PM
15,3467006379.5295124,2.1931414737871537,33879290.08030336,2024 02 17 - 09:16:50 PM
15,3467006379.5295124,2.193266248535075,33832177.0903611,2024 02 17 - 09:21:53 PM
15,3467006379.5295124,2.195281242363147,33847934.33804242,2024 02 17 - 09:26:58 PM
15,3467006379.5295124,2.195327995759674,33802603.97432681,2024 02 17 - 09:32:01 PM
15,3467006379.5295124,2.1927468253284728,33524809.69604907,2024 02 17 - 09:37:06 PM
15,3467009942.4227123,2.189769757121444,33457353.11427635,2024 02 17 - 09:42:09 PM
15,3467009942.4227123,2.1866703285938893,33318425.63702995,2024 02 17 - 09:47:13 PM
