cmcRank,circulatingSupply,price,volume24h,fetched_on
21,598187015.71,6.440088142050785,66959289.36117763,2024 02 09 - 08:56:35 AM
21,598187015.71,6.435538344142627,67008947.74598484,2024 02 09 - 09:00:52 AM
21,598187015.71,6.417582664614944,67087712.13197481,2024 02 09 - 09:05:38 AM
21,598187015.71,6.4148642001369485,67010700.38778526,2024 02 09 - 09:10:26 AM
21,598187015.71,6.40907932131233,67045058.96260577,2024 02 09 - 09:14:41 AM
21,598187015.71,6.403145509465035,67007609.58171599,2024 02 09 - 09:19:09 AM
21,598187015.71,6.401682199549877,67026064.01864272,2024 02 09 - 09:24:04 AM
21,598187015.71,6.39969987353619,67023061.30027916,2024 02 09 - 09:28:45 AM
21,598187015.71,6.398915993312498,67040566.49517938,2024 02 09 - 09:33:31 AM
21,598187015.71,6.405508272989511,66808536.05628194,2024 02 09 - 09:38:26 AM
21,598187015.71,6.4087838470059655,66769831.85919639,2024 02 09 - 09:43:07 AM
21,598187015.71,6.40528606738862,66758885.36389098,2024 02 09 - 09:48:09 AM
21,598187015.71,6.390911524631407,66807550.25536036,2024 02 09 - 09:52:27 AM
21,598187015.71,6.386870175122955,66742482.74937411,2024 02 09 - 09:56:58 AM
21,598187015.71,6.388768404309181,66751983.7997106,2024 02 09 - 10:01:35 AM
21,598187015.71,6.394774556249429,66810159.35509664,2024 02 09 - 10:05:59 AM
21,598187015.71,6.3970709297329575,66821257.97448289,2024 02 09 - 10:10:25 AM
21,598187015.71,6.400586820187498,66807198.04923182,2024 02 09 - 10:14:46 AM
21,598187015.71,6.4072570634665675,66914076.50774217,2024 02 09 - 10:19:44 AM
21,598187015.71,6.403649050432779,66918407.56057755,2024 02 09 - 10:24:35 AM
21,598187015.71,6.4025266988136345,66975462.4226649,2024 02 09 - 10:29:35 AM
21,598187015.71,6.4057200356183115,66883760.76718784,2024 02 09 - 10:34:14 AM
21,598187015.71,6.408237075814463,66912008.57923441,2024 02 09 - 10:38:31 AM
21,598187015.71,6.407958547999052,66906929.00612894,2024 02 09 - 10:43:04 AM
21,598187015.71,6.405321738972653,66915741.69689379,2024 02 09 - 10:47:31 AM
21,598187015.71,6.4024972251827155,66883549.19544308,2024 02 09 - 10:51:47 AM
21,598187015.71,6.400650187902437,66946691.21145345,2024 02 09 - 10:56:22 AM
21,598187015.71,6.409159586391188,66925283.43128294,2024 02 09 - 11:00:57 AM
21,598187015.71,6.408556129305688,66908144.3701152,2024 02 09 - 11:05:15 AM
21,598187015.71,6.410614098933763,66944964.74825673,2024 02 09 - 11:09:50 AM
21,598187015.71,6.408849006806351,66956526.68447032,2024 02 09 - 11:14:22 AM
21,598187015.71,6.409475198538394,66908409.09707916,2024 02 09 - 11:18:57 AM
21,598187015.71,6.413715818191393,66973960.15488628,2024 02 09 - 11:25:11 AM
21,598187015.71,6.417608463980507,67072208.20509112,2024 02 09 - 11:30:11 AM
21,598187015.71,6.414685148906021,66894482.49891605,2024 02 09 - 11:35:11 AM
21,598187015.71,6.403023049014455,66757862.95768411,2024 02 09 - 11:39:58 AM
