cmcRank,circulatingSupply,price,volume24h,fetched_on
33,72714516834.0,0.04362489877948885,252242697.0299654,2024 02 17 - 08:56:35 PM
33,72714516834.0,0.043627751911578465,251796955.28705388,2024 02 17 - 09:01:39 PM
33,72714516834.0,0.04387713793084005,252307370.81392518,2024 02 17 - 09:06:43 PM
33,72714516834.0,0.04375422203017586,252146387.1910727,2024 02 17 - 09:11:46 PM
33,72714516834.0,0.043789303778410366,249105158.89141676,2024 02 17 - 09:16:50 PM
33,72714516834.0,0.043689839368527314,246843001.71335366,2024 02 17 - 09:21:53 PM
33,72714516834.0,0.043823976702914276,245842511.8007441,2024 02 17 - 09:26:58 PM
33,72714516834.0,0.04404500101319086,246001575.32913792,2024 02 17 - 09:32:02 PM
32,72714516834.0,0.04404021089701361,244751017.2591196,2024 02 17 - 09:37:06 PM
32,72714516834.0,0.04410074198297896,244778952.64262646,2024 02 17 - 09:42:09 PM
32,72714516834.0,0.04418955128573291,244442578.06505695,2024 02 17 - 09:47:13 PM
