cmcRank,circulatingSupply,price,volume24h,fetched_on
97,19629860923092.0,3.3112080471077526e-05,117058683.1208955,2024 02 09 - 08:56:36 AM
97,19629860923092.0,3.314115351260999e-05,117128442.8064335,2024 02 09 - 09:00:52 AM
97,19629860923092.0,3.338664066886804e-05,118178912.73062049,2024 02 09 - 09:05:38 AM
97,19629860923092.0,3.3300365934325996e-05,118488084.42690969,2024 02 09 - 09:10:26 AM
97,19629860923092.0,3.353091705614373e-05,118753139.69181232,2024 02 09 - 09:14:41 AM
97,19629860923092.0,3.340131068552424e-05,119199706.79321119,2024 02 09 - 09:19:09 AM
97,19629860923092.0,3.3288898804807095e-05,119336663.73627251,2024 02 09 - 09:24:04 AM
97,19629860923092.0,3.3243823403702114e-05,119377262.54263571,2024 02 09 - 09:28:45 AM
97,19629860923092.0,3.322435442120068e-05,119538888.40902367,2024 02 09 - 09:33:31 AM
97,19629860923092.0,3.318333042959535e-05,119655463.65739381,2024 02 09 - 09:38:26 AM
97,19629923423092.0,3.3205090019700276e-05,119778488.54290377,2024 02 09 - 09:43:07 AM
97,19629923423092.0,3.3228754749243546e-05,119833663.53078777,2024 02 09 - 09:48:09 AM
97,19629923423092.0,3.322743634386232e-05,119947557.68083741,2024 02 09 - 09:52:27 AM
97,19629923423092.0,3.333270496785059e-05,120725107.33255328,2024 02 09 - 09:56:58 AM
97,19629923423092.0,3.326476638267083e-05,120937535.35468873,2024 02 09 - 10:01:35 AM
97,19629923423092.0,3.3201351098937056e-05,121022460.73401217,2024 02 09 - 10:05:59 AM
96,19629923423092.0,3.3865930210323864e-05,121179371.849553,2024 02 09 - 10:10:25 AM
97,19629923423092.0,3.379253165630751e-05,121365693.3224791,2024 02 09 - 10:14:46 AM
97,19629923423092.0,3.318217293208563e-05,121630065.44905478,2024 02 09 - 10:19:44 AM
97,19629923423092.0,3.3140789560930015e-05,121715478.8274354,2024 02 09 - 10:24:35 AM
97,19629923423092.0,3.314784627561553e-05,121713264.37541586,2024 02 09 - 10:29:35 AM
97,19629923423092.0,3.3138805025866295e-05,121498566.6407046,2024 02 09 - 10:34:14 AM
97,19629923423092.0,3.317472414949148e-05,121570042.27141148,2024 02 09 - 10:38:31 AM
97,19629923423092.0,3.319255380488558e-05,121561039.96484631,2024 02 09 - 10:43:04 AM
97,19629923423092.0,3.3157035914290836e-05,121617222.18072098,2024 02 09 - 10:47:31 AM
