Last updated time : February 09, 2024 | 08:48:15 AM
id,name,symbol,cmcRank,circulatingSupply,price,volume24h,marketCap,marketCapByTotalSupply
1,Bitcoin,BTC,1,19622450.0,46187.9660842206,26272736729.369766,906321055089.3145,906321055089.3145
1027,Ethereum,ETH,2,120176767.96525423,2458.226790433071,10019420558.978296,295421750599.8468,295421750599.8468
825,Tether USDt,USDT,3,96206255178.35936,0.9998915792719161,41370278394.71576,96195824426.1267,99589827377.3403
1839,BNB,BNB,4,149545780.1940121,322.9976552854855,1115704788.8969631,48302936360.50451,48302936360.50451
5426,Solana,SOL,5,436862664.44105905,105.2765367378587,2260975853.281215,45991388342.42799,59906704487.573654
52,XRP,XRP,6,54436190886.0,0.5194734751233241,864985692.7982386,28278157252.027042,51941080574.978
3408,USDC,USDC,7,27741675182.198944,0.9997435129987717,6225141948.74033,27734559803.122414,27734559803.122414
2010,Cardano,ADA,8,35442037411.972,0.5375315068819502,686930421.8348686,19051211777.02376,19673511859.34959
5805,Avalanche,AVAX,9,367459551.5366809,36.17358296134905,462018145.2023568,13292328572.452244,15753322686.439238
74,Dogecoin,DOGE,10,142995556383.70523,0.08080076775470814,247656546.5252264,11554150741.315039,11554150741.315039
1975,Chainlink,LINK,11,587099970.4527867,18.438377410530368,614285243.6590015,10825170832.919708,18438377410.53037
1958,TRON,TRX,12,88089586420.60808,0.12271790068829498,317353167.1117786,10810169118.03716,10810169273.055233
6636,Polkadot,DOT,13,1276690241.0127625,7.081034776519528,221859403.07612506,9040287995.45447,9976829207.611227
3890,Polygon,MATIC,14,9610749134.130823,0.8452472002291157,324811722.3902658,8123458797.728477,8452472002.291157
11419,Toncoin,TON,15,3458177213.8969617,2.073908524475734,26598095.42501136,7171943203.048653,10582034714.005486
8916,Internet Computer,ICP,16,457809493.1047961,12.594115685586717,98671108.14490823,5765705718.121616,6475098782.101384
5994,Shiba Inu,SHIB,17,589290011718314.6,9.334204548621248e-06,155135722.30933276,5500553507.8381605,5502834305.411237
4943,Dai,DAI,18,5347888595.7464075,1.0000121241751312,115180944.47799055,5347953434.484324,5347953434.484324
2,Litecoin,LTC,19,74185206.51926564,71.77668233694455,323516673.1916991,5324768002.433958,6029241316.303342
1831,Bitcoin Cash,BCH,20,19636656.25,248.2064913151759,178019981.89280498,4873945548.97472,4873945548.97472
7083,Uniswap,UNI,21,598187015.71,6.444910661817808,66535530.48022834,3855261875.3103557,6444910661.817808
1321,Ethereum Classic,ETC,22,145457970.16231975,26.061238562726004,205826047.6639308,3790814861.250096,5491102965.166369
3957,UNUS SED LEO,LEO,23,927631545.9,4.075743148847626,1298497.68045828,3780787917.8568573,4015583158.4020333
3794,Cosmos,ATOM,24,385922012.0,9.691950168179828,127955478.59791559,3740336909.1076975,3740336909.1076975
22861,Celestia,TIA,25,162961335.9691,20.380775598166498,282947166.3251772,3321278419.563646,20827477529.083626
11840,Optimism,OP,26,957378568.0,3.37335518445076,201672751.573405,3229577955.8448443,14488450195.008062
10603,Immutable,IMX,27,1355429364.3898141,2.365606798589518,89859766.54279159,3206412919.4084134,4731213597.179036
512,Stellar,XLM,28,28396340614.817543,0.1109235250649481,61875250.60411972,3149822199.9405174,5546374477.65956
6535,NEAR Protocol,NEAR,29,1033454918.0,2.981327742009341,156523682.4642376,3081067817.149389,3506648664.418805
21794,Aptos,APT,30,339146987.8749124,8.938117247239171,95382807.04667726,3031335541.6739683,9654043213.75537
7226,Injective,INJ,31,88392222.33,33.94989705480999,109257720.28717558,3000906848.549377,3394989705.480999
3897,OKB,OKB,32,60000000.0,49.33964434985059,6338822.99159344,2960378660.9910355,14801893304.955177
20396,Kaspa,KAS,33,22619031607.121674,0.1299757836008992,65269340.25466803,2939926357.429146,2939926357.429146
26081,First Digital USD,FDUSD,34,2681150854.3,1.0027400664504103,5879175426.256719,2688497385.8043566,2688497385.8043566
2280,Filecoin,FIL,35,506365351.0,5.298116945960681,107381331.65210141,2682782846.980428,10389280967.025024
4847,Stacks,STX,36,1438439221.007775,1.845973434972383,267981346.8345496,2655320589.802721,3355979704.7797923
8000,Lido DAO,LDO,37,890927149.7273457,2.93514041569223,66108653.59134267,2614996284.6022153,2935140415.69223
4642,Hedera,HBAR,38,33665267274.039337,0.0764620375266204,66943201.98136016,2574114929.6513014,3823101876.33102
11841,Arbitrum,ARB,39,1275000000.0,1.908757058821489,350795841.9210064,2433665249.9973984,19087570588.21489
328,Monero,XMR,40,18395286.12410757,126.98848627902355,118209529.7973492,2335989539.5699463,2335989539.5699463
3635,Cronos,CRO,41,25263013692.0,0.08575881971967052,8920170.7148448,2166526236.787796,2595320335.3861485
3077,VeChain,VET,42,72714516834.0,0.02922472893227288,31258666.38846869,2125062043.914843,2512889520.6281466
27075,Mantle,MNT,43,3166917893.0331407,0.6185875558386726,71136019.40841016,1959015998.9931293,3847191975.1992707
20947,Sui,SUI,44,1165931966.173846,1.5789399876590873,285141886.790553,1840936604.2818677,15789399876.590874
1518,Maker,MKR,45,922862.74123668,1960.8611364128926,43437146.47599439,1809605683.5344737,1916998706.1080368
5690,Render,RNDR,46,376146335.68794847,4.56364451455455,64784734.19883437,1716598161.5321004,2423477477.0985937
4157,THORChain,RUNE,47,339792571.0,4.910268400877706,194057435.04453343,1668472724.2342944,2368636463.933806
23149,Sei,SEI,48,2425000000.0,0.6634099375826367,251567086.45137757,1608769098.637894,6634099375.826367
6719,The Graph,GRT,49,9391735930.957983,0.16672160720521914,49793638.61679549,1565805308.85632,1799590206.480141
3602,Bitcoin SV,BSV,50,19629475.0,77.81292317903142,103634357.67191403,1527426830.2197177,1527426830.2197177
2563,TrueUSD,TUSD,51,1488456471.81,0.9830625920314899,101766333.27750187,1463245877.3035848,1463245877.3035848
6892,MultiversX,EGLD,52,26552375.0,54.57769410607491,51206193.81016298,1449167400.5397909,1449448584.8198252
4030,Algorand,ALGO,53,8046643795.832258,0.17207795521013164,35789247.00960248,1384650010.691107,1384650010.691107
25028,ORDI,ORDI,54,21000000.0,62.342221911402774,267760054.3687075,1309186660.1394582,1309186660.1394582
7278,Aave,AAVE,55,14729984.61691271,87.23723527864813,111245454.16119565,1285003133.6764817,1395795764.45837
3155,Quant,QNT,56,12072738.0,104.87739035978103,15572069.91884897,1266157255.9373622,1560718621.3139925
8646,Mina,MINA,57,1048884862.8400393,1.20689422038824,40744702.03368238,1265893078.8143554,1356288526.6128848
4558,Flow,FLOW,58,1487858625.0,0.8008189926895333,64708356.81388025,1191505445.336934,1191505445.4945636
5665,Helium,HNT,59,160875441.82421333,7.102663054284753,9567278.45169893,1142644056.986576,1142644056.986576
28932,Dymension,DYM,60,146000000.0,7.772543165989077,591888025.1193997,1134791302.2344053,7772543165.989077
3513,Fantom,FTM,61,2803634835.5265927,0.38047272132250437,44340534.62804995,1066706575.4673747,1208000890.1989515
2586,Synthetix,SNX,62,304567515.2936053,3.428548786039765,28159228.50131968,1044224584.827038,1125226068.610187
16086,BitTorrent (New),BTT,63,968246428571000.0,1.0688474945240467e-06,141446350.10039043,1034907769.2599697,1058159019.5788063
28298,Beam,BEAM,64,51171600197.675835,0.020123672140423002,31449188.13692405,1029760505.2788334,1266887844.2890916
6210,The Sandbox,SAND,65,2237731926.2233224,0.4604549369986022,76917730.01809308,1030374713.1089207,1381364810.9958067
12885,Astar,ASTR,66,5563256354.0,0.1830222302392528,20920054.07458379,1018199585.301774,1534818635.4404316
2416,Theta Network,THETA,67,1000000000.0,1.0143029140301316,13022007.0713972,1014302914.0301316,1014302914.0301316
6783,Axie Infinity,AXS,68,137114245.93118197,7.3121977503155575,59343846.04398015,1002606480.6342028,1974293392.5852005
2011,Tezos,XTZ,69,970235142.789034,1.0273735631938163,20005715.76125288,996793935.783031,1018247172.8408124
2087,KuCoin Token,KCS,70,96496827.28902875,10.027436918755312,1367200.18851738,967615848.500762,1443919102.140797
7950,Flare,FLR,71,32590157336.603596,0.02967050151373057,21849108.41541523,966966312.5884144,2983659318.278683
28683,SATS,1000SATS,72,2100000000000.0,0.0004495730302117642,37814597.27967541,944103363.4447048,944103363.4447048
4066,Chiliz,CHZ,73,8888290621.684032,0.10172271040261804,36776693.2964958,904141012.8838706,904201870.1550735
11092,Bitget Token,BGB,74,1400000000.0,0.6364711317528026,14699432.52669566,891059584.4539236,1272942263.5056052
11156,dYdX (ethDYDX),ETHDYDX,75,309204656.1,2.844394054067821,47216495.9266625,879499885.3009254,1524720358.667311
1966,Decentraland,MANA,76,1893095370.6427295,0.4578888826191772,58094395.59066128,866827323.9551365,1004232431.5701003
7334,Conflux,CFX,77,3743763551.95,0.22789548554385702,47845258.71039015,853186812.43304,1132358785.1208165
23121,Blur,BLUR,78,1297586947.2983258,0.6381155224541311,124016313.04936123,828010372.8049322,1914346567.3623934
12220,Osmosis,OSMO,79,492590761.0,1.6764574623739474,49382584.00275306,825807457.1749116,984715440.0601149
1376,Neo,NEO,80,70538831.0,11.693741776711798,27388989.61648436,824862874.9451133,1169374177.6711798
7548,WEMIX,WEMIX,81,361680691.95285416,2.2757655037775137,3492341.43772077,823100442.1286869,2166823185.692606
1765,EOS,EOS,82,1116681877.1354,0.7323607690509201,91117708.789985,817813998.3241066,817813998.3241066
7653,Oasis Network,ROSE,83,6713599876.0,0.11931500039494933,48352403.35028192,801033171.8564718,1193150003.9494934
28177,Pyth Network,PYTH,84,1499989236.571967,0.5286215022652315,119591006.92157318,792926563.6183509,5286209332.878104
4846,Kava,KAVA,85,1082861773.0,0.7201277457109023,19526211.4808247,779798807.5070008,779798806.7868731
1720,IOTA,IOTA,86,3133816726.0,0.24872905285876945,19156693.96642952,779471266.0909498,779471266.0909498
4256,Klaytn,KLAY,87,3488893805.310724,0.20892572285725286,12240016.22300127,728919660.2467346,1231534275.1131842
14101,Ronin,RON,88,295618086.30836403,2.4426155422659317,79405917.47840449,722081332.1917216,2442615542.2659316
19891,USDD,USDD,89,725332033.742248,0.9947852249148934,12645548.40709981,721549590.3242593,721549590.3242593
6953,Frax Share,FXS,90,76654563.20021659,9.22204591899078,41407582.98859755,706911901.7325783,919267329.6151111
13631,Manta Network,MANTA,91,251000000.0,2.7811286532230692,240256625.93341637,698063291.9589903,2781128653.223069
9481,Pendle,PENDLE,92,238185588.24463487,2.906417300205179,73931273.51669027,692266714.3337541,751152007.6595231
7501,WOO,WOO,93,1823746986.9013727,0.376545320336458,13779049.99113755,686723393.3954275,839859736.1381011
29210,Jupiter,JUP,94,1350000000.0,0.5069596855852755,330501530.7068857,684395575.5401219,5069596855.852755
23095,Bonk,BONK,95,63333513043628.45,1.0557620350715918e-05,56026788.19968484,668651186.1917437,988436837.1720622
7431,Akash Network,AKT,96,227331869.782304,2.9385046615912516,3949674.18720991,668015759.0835557,668015759.0835557
10791,eCash,XEC,97,19629860923092.0,3.325983644330745e-05,116554679.82386461,652885963.7069122,652885963.7069122
13855,Ethereum Name Service,ENS,98,30780597.2827555,21.04290218941609,94400797.90137964,647713097.9528307,2104290218.941609
7080,Gala,GALA,99,27799861148.42234,0.023095284866927208,40037932.36829209,642045712.483836,688909743.8657068
1659,Gnosis,GNO,100,2589588.0,244.34739133416775,8255081.34778746,632759072.4302648,733042174.0025033
