cmcRank,circulatingSupply,price,volume24h,fetched_on
83,63333513043628.45,1.3338871707333475e-05,90083072.88846919,2024 02 17 - 10:23:52 AM
83,63333513043628.45,1.3338358782879655e-05,90069101.24715745,2024 02 17 - 10:25:56 AM
83,63333513043628.45,1.3338358782879655e-05,90069101.24715745,2024 02 17 - 10:27:59 AM
83,63333513043628.45,1.3321170675395109e-05,90117717.0030203,2024 02 17 - 10:30:03 AM
83,63333513043628.45,1.3321170675395109e-05,90117717.0030203,2024 02 17 - 10:32:06 AM
83,63333513043628.45,1.3315972627526191e-05,90085935.49841356,2024 02 17 - 10:34:10 AM
84,63333513043628.45,1.3301951656140925e-05,89689310.95373513,2024 02 17 - 10:36:14 AM
84,63333513043628.45,1.3301951656140925e-05,89689310.95373513,2024 02 17 - 10:38:17 AM
84,63333513043628.45,1.328588396469113e-05,89529535.70573199,2024 02 17 - 10:40:21 AM
84,63333513043628.45,1.325076626648108e-05,89429144.78828055,2024 02 17 - 10:42:24 AM
84,63333513043628.45,1.325076626648108e-05,89429144.78828055,2024 02 17 - 10:44:28 AM
84,63333513043628.45,1.321715009263124e-05,89361821.91446652,2024 02 17 - 10:46:31 AM
84,63333513043628.45,1.321715009263124e-05,89361821.91446652,2024 02 17 - 10:48:35 AM
84,63333513043628.45,1.3212598575302686e-05,89333103.55219601,2024 02 17 - 10:50:40 AM
84,63333513043628.45,1.3212598575302686e-05,89333103.55219601,2024 02 17 - 10:52:43 AM
84,63333513043628.45,1.3206160077271598e-05,89162789.2321863,2024 02 17 - 10:54:47 AM
84,63333513043628.45,1.3209221391453071e-05,89001999.5436401,2024 02 17 - 10:56:52 AM
84,63333513043628.45,1.3209221391453071e-05,89001999.5436401,2024 02 17 - 10:58:57 AM
84,63333513043628.45,1.3189857450986085e-05,88890827.26152481,2024 02 17 - 11:01:00 AM
84,63333513043628.45,1.3193594639812595e-05,88904900.45296106,2024 02 17 - 11:03:04 AM
84,63333513043628.45,1.3193594639812595e-05,88904900.45296106,2024 02 17 - 11:05:08 AM
84,63333513043628.45,1.3177572249560122e-05,88823307.32346869,2024 02 17 - 11:07:11 AM
84,63333513043628.45,1.318183756171479e-05,88771976.35092701,2024 02 17 - 11:08:16 AM
84,63333513043628.45,1.318183756171479e-05,88771976.35092701,2024 02 17 - 11:10:20 AM
84,63333513043628.45,1.3218429032346047e-05,88741004.83586292,2024 02 17 - 11:12:23 AM
84,63333513043628.45,1.3218429032346047e-05,88741004.83586292,2024 02 17 - 11:14:31 AM
84,63333513043628.45,1.3235730946113765e-05,88709118.7642973,2024 02 17 - 11:16:35 AM
