cmcRank,circulatingSupply,price,volume24h,fetched_on
86,1082861700.0,0.7471223298922012,22590198.44922145,2024 02 17 - 10:23:52 AM
86,1082861700.0,0.7484592116132578,22716776.59974666,2024 02 17 - 10:25:56 AM
86,1082861700.0,0.7484592116132578,22716776.59974666,2024 02 17 - 10:27:59 AM
86,1082861700.0,0.7482317154029721,22738243.61476066,2024 02 17 - 10:30:03 AM
86,1082861700.0,0.7482317154029721,22738243.61476066,2024 02 17 - 10:32:06 AM
86,1082861700.0,0.7483049939421903,22724685.42737145,2024 02 17 - 10:34:10 AM
86,1082861700.0,0.748134374272873,22714984.97694108,2024 02 17 - 10:36:14 AM
86,1082861700.0,0.748134374272873,22714984.97694108,2024 02 17 - 10:38:17 AM
86,1082861700.0,0.7482465915282017,22709931.70450807,2024 02 17 - 10:40:21 AM
86,1082861700.0,0.7484784253925488,22702919.52315215,2024 02 17 - 10:42:24 AM
86,1082861700.0,0.7484784253925488,22702919.52315215,2024 02 17 - 10:44:28 AM
86,1082861700.0,0.7482009346348113,22685259.38858516,2024 02 17 - 10:46:31 AM
86,1082861700.0,0.7482009346348113,22685259.38858516,2024 02 17 - 10:48:35 AM
86,1082861700.0,0.7480477976683906,22677076.74841188,2024 02 17 - 10:50:40 AM
86,1082861700.0,0.7480477976683906,22677076.74841188,2024 02 17 - 10:52:43 AM
86,1082861700.0,0.7477222107765225,22668128.03420494,2024 02 17 - 10:54:47 AM
86,1082861700.0,0.7472532245920634,22652213.40830331,2024 02 17 - 10:56:52 AM
86,1082861700.0,0.7472532245920634,22652213.40830331,2024 02 17 - 10:58:57 AM
86,1082861700.0,0.7472631222838284,22603224.89154584,2024 02 17 - 11:01:00 AM
86,1082861700.0,0.7473175302389874,22589410.29343887,2024 02 17 - 11:03:04 AM
86,1082861700.0,0.7473175302389874,22589410.29343887,2024 02 17 - 11:05:08 AM
86,1082861700.0,0.7472406769858535,22398469.57892207,2024 02 17 - 11:07:11 AM
86,1082861700.0,0.7472776164521187,22161855.09128078,2024 02 17 - 11:08:16 AM
86,1082861700.0,0.7472776164521187,22161855.09128078,2024 02 17 - 11:10:20 AM
86,1082861700.0,0.7482776261711274,21944315.61156872,2024 02 17 - 11:12:23 AM
86,1082861700.0,0.7482776261711274,21944315.61156872,2024 02 17 - 11:14:31 AM
86,1082861700.0,0.7487213459504964,21914800.29795672,2024 02 17 - 11:16:35 AM
86,1082861700.0,0.7487010266583838,21908414.5923748,2024 02 17 - 11:18:39 AM
86,1082861700.0,0.7484554936428137,21875774.93479279,2024 02 17 - 11:20:42 AM
86,1082861700.0,0.7484554936428137,21875774.93479279,2024 02 17 - 11:22:46 AM
86,1082861700.0,0.7487034400232472,21463116.13908423,2024 02 17 - 11:24:50 AM
86,1082861700.0,0.7487034400232472,21463116.13908423,2024 02 17 - 11:26:54 AM
86,1082861700.0,0.7480723017065927,21402555.82002991,2024 02 17 - 11:28:58 AM
86,1082861700.0,0.7481731662731337,21389694.36085004,2024 02 17 - 11:31:01 AM
86,1082861700.0,0.7480404729664657,21364680.92840008,2024 02 17 - 11:33:09 AM
86,1082861700.0,0.7480404729664657,21364680.92840008,2024 02 17 - 11:35:23 AM
86,1082861700.0,0.749060610235308,21382491.66332104,2024 02 17 - 11:37:28 AM
86,1082861700.0,0.749060610235308,21382491.66332104,2024 02 17 - 11:39:34 AM
86,1082861700.0,0.749061006031467,21260440.41841409,2024 02 17 - 11:41:37 AM
86,1082861700.0,0.749061006031467,21260440.41841409,2024 02 17 - 11:43:41 AM
86,1082861700.0,0.7487385916693763,21224315.59980732,2024 02 17 - 11:45:45 AM
86,1082861700.0,0.7487385916693763,21224315.59980732,2024 02 17 - 11:47:49 AM
86,1082861700.0,0.7481639982528442,21066462.16702952,2024 02 17 - 11:49:52 AM
85,1082861700.0,0.7480984718189553,21020237.32532214,2024 02 17 - 11:51:56 AM
87,1082861700.0,0.7473616845020478,21015823.15405268,2024 02 17 - 11:54:00 AM
87,1082861700.0,0.7473616845020478,21015823.15405268,2024 02 17 - 11:56:04 AM
87,1082861700.0,0.7463948592740851,21015767.70986102,2024 02 17 - 11:58:09 AM
87,1082861700.0,0.7463948592740851,21015767.70986102,2024 02 17 - 12:00:13 PM
87,1082861700.0,0.7464696008747939,21016528.0927709,2024 02 17 - 12:02:18 PM
87,1082861700.0,0.7464696008747939,21016528.0927709,2024 02 17 - 12:04:22 PM
87,1082861700.0,0.7465251215862014,20962584.74492262,2024 02 17 - 12:06:33 PM
87,1082861700.0,0.747374360995652,20821568.27144899,2024 02 17 - 12:08:37 PM
87,1082861700.0,0.7473874227677942,20688129.07078801,2024 02 17 - 12:10:41 PM
87,1082861700.0,0.7473874227677942,20688129.07078801,2024 02 17 - 12:12:45 PM
87,1082861700.0,0.7478328462202658,20661963.74203616,2024 02 17 - 12:14:50 PM
87,1082861700.0,0.7478328462202658,20661963.74203616,2024 02 17 - 12:16:54 PM
