cmcRank,circulatingSupply,price,volume24h,fetched_on
88,492590761.0,1.6180927515230636,33630702.63055571,2024 02 17 - 10:23:52 AM
89,492590761.0,1.618567593816976,33618462.30338284,2024 02 17 - 10:25:56 AM
89,492590761.0,1.618567593816976,33618462.30338284,2024 02 17 - 10:27:59 AM
89,492590761.0,1.618252037141266,33620301.77559578,2024 02 17 - 10:30:03 AM
89,492590761.0,1.618252037141266,33620301.77559578,2024 02 17 - 10:32:06 AM
88,492590761.0,1.6156879088419303,33604486.12398095,2024 02 17 - 10:34:10 AM
88,492590761.0,1.6160103176710898,33594011.08960844,2024 02 17 - 10:36:14 AM
88,492590761.0,1.6160103176710898,33594011.08960844,2024 02 17 - 10:38:17 AM
88,492590761.0,1.6152176734291082,33614509.99941853,2024 02 17 - 10:40:21 AM
88,492590761.0,1.6148983875809648,33612450.21916242,2024 02 17 - 10:42:24 AM
88,492590761.0,1.6148983875809648,33612450.21916242,2024 02 17 - 10:44:28 AM
88,492590761.0,1.6124031371870173,33607695.83232131,2024 02 17 - 10:46:31 AM
88,492590761.0,1.6124031371870173,33607695.83232131,2024 02 17 - 10:48:35 AM
88,492590761.0,1.611682807745356,33656424.22135612,2024 02 17 - 10:50:40 AM
88,492590761.0,1.611682807745356,33656424.22135612,2024 02 17 - 10:52:43 AM
88,492590761.0,1.6106245279871518,33561215.27614028,2024 02 17 - 10:54:47 AM
88,492590761.0,1.6109593759540053,33489952.81144183,2024 02 17 - 10:56:52 AM
88,492590761.0,1.6109593759540053,33489952.81144183,2024 02 17 - 10:58:57 AM
89,492590761.0,1.6098917439075433,33416516.68538424,2024 02 17 - 11:01:00 AM
89,492590761.0,1.6106215331754588,33414673.25378607,2024 02 17 - 11:03:04 AM
89,492590761.0,1.6106215331754588,33414673.25378607,2024 02 17 - 11:05:08 AM
89,492590761.0,1.6109036058148487,33372892.35325466,2024 02 17 - 11:07:11 AM
89,492590761.0,1.6117569545392865,33386864.29761332,2024 02 17 - 11:08:16 AM
89,492590761.0,1.6117569545392865,33386864.29761332,2024 02 17 - 11:10:20 AM
89,492590761.0,1.6125595780250346,33383661.34261359,2024 02 17 - 11:12:23 AM
89,492590761.0,1.6125595780250346,33383661.34261359,2024 02 17 - 11:14:31 AM
89,492590761.0,1.613418187437872,33406673.27787871,2024 02 17 - 11:16:35 AM
89,492590761.0,1.614489929219232,33401436.10933628,2024 02 17 - 11:18:39 AM
89,492590761.0,1.6144893719760103,33392079.1251295,2024 02 17 - 11:20:42 AM
89,492590761.0,1.6144893719760103,33392079.1251295,2024 02 17 - 11:22:46 AM
89,492590761.0,1.6155166316195382,33354843.88197808,2024 02 17 - 11:24:50 AM
89,492590761.0,1.6155166316195382,33354843.88197808,2024 02 17 - 11:26:54 AM
89,492590761.0,1.6157628096079784,33248801.82093199,2024 02 17 - 11:28:58 AM
89,492590761.0,1.6162429537455258,33252090.8284553,2024 02 17 - 11:31:01 AM
89,492590761.0,1.6165844836016452,33249303.83892632,2024 02 17 - 11:33:09 AM
89,492590761.0,1.6165844836016452,33249303.83892632,2024 02 17 - 11:35:23 AM
89,492590761.0,1.6162746443259777,32893911.09256163,2024 02 17 - 11:37:28 AM
89,492590761.0,1.6162746443259777,32893911.09256163,2024 02 17 - 11:39:34 AM
89,492590761.0,1.6169275862607988,32890291.23881856,2024 02 17 - 11:41:37 AM
89,492590761.0,1.6169275862607988,32890291.23881856,2024 02 17 - 11:43:41 AM
89,492590761.0,1.617305066160523,32938191.20521422,2024 02 17 - 11:45:45 AM
89,492590761.0,1.617305066160523,32938191.20521422,2024 02 17 - 11:47:49 AM
89,492590761.0,1.617919914093359,32945365.53783279,2024 02 17 - 11:49:52 AM
89,492590761.0,1.616572720818649,32937349.52456452,2024 02 17 - 11:51:56 AM
90,492590761.0,1.6160356472485444,32917292.30102645,2024 02 17 - 11:54:00 AM
90,492590761.0,1.6160356472485444,32917292.30102645,2024 02 17 - 11:56:04 AM
90,492590761.0,1.6153421197517508,32931089.93714016,2024 02 17 - 11:58:09 AM
90,492590761.0,1.6153421197517508,32931089.93714016,2024 02 17 - 12:00:13 PM
90,492590761.0,1.6144713564057998,32898850.60784948,2024 02 17 - 12:02:18 PM
90,492590761.0,1.6144713564057998,32898850.60784948,2024 02 17 - 12:04:22 PM
90,492590761.0,1.6157774245978291,32877354.00226866,2024 02 17 - 12:06:33 PM
90,492590761.0,1.6148805216334357,32843980.97950271,2024 02 17 - 12:08:37 PM
90,492590761.0,1.6145715331184411,32850356.59215761,2024 02 17 - 12:10:41 PM
90,492590761.0,1.6145715331184411,32850356.59215761,2024 02 17 - 12:12:45 PM
90,492590761.0,1.6143826708944946,32703179.29427021,2024 02 17 - 12:14:50 PM
90,492590761.0,1.6143826708944946,32703179.29427021,2024 02 17 - 12:16:54 PM
90,492590761.0,1.6110471679109961,32652583.8752612,2024 02 17 - 12:18:58 PM
90,492590761.0,1.6110471679109961,32652583.8752612,2024 02 17 - 12:21:02 PM
88,492590761.0,1.6103908625964924,32634701.80354227,2024 02 17 - 12:23:05 PM
88,492590761.0,1.610252831029835,32582806.1244298,2024 02 17 - 12:25:09 PM
88,492590761.0,1.610252831029835,32582806.1244298,2024 02 17 - 12:27:14 PM
89,492590761.0,1.610723792578828,32467093.17277857,2024 02 17 - 12:29:18 PM
89,492590761.0,1.610723792578828,32467093.17277857,2024 02 17 - 12:31:22 PM
89,492590761.0,1.609459510603997,32341735.27304012,2024 02 17 - 12:33:26 PM
89,492590761.0,1.609459510603997,32341735.27304012,2024 02 17 - 12:35:30 PM
89,492590761.0,1.611172575479752,32255405.52419607,2024 02 17 - 12:37:34 PM
89,492590761.0,1.6113169692241667,32235731.75280621,2024 02 17 - 12:39:40 PM
89,492590761.0,1.6113169692241667,32235731.75280621,2024 02 17 - 12:41:44 PM
90,492590761.0,1.6104806833431446,32004743.51901906,2024 02 17 - 12:43:48 PM
90,492590761.0,1.6104806833431446,32004743.51901906,2024 02 17 - 12:45:52 PM
89,492590761.0,1.6104312816431412,31930255.0736045,2024 02 17 - 12:47:58 PM
90,492590761.0,1.6101282008515971,31875963.4670683,2024 02 17 - 12:50:22 PM
90,492590761.0,1.6101282008515971,31875963.4670683,2024 02 17 - 12:52:29 PM
90,492590761.0,1.609485896698237,31860534.09715818,2024 02 17 - 12:54:37 PM
90,492590761.0,1.6091945944190933,31817170.93282999,2024 02 17 - 12:56:43 PM
90,492590761.0,1.6090717799326995,31767085.2071084,2024 02 17 - 12:58:47 PM
90,492590761.0,1.6090717799326995,31767085.2071084,2024 02 17 - 01:00:51 PM
90,492590761.0,1.6092914828750295,31768423.45731403,2024 02 17 - 01:02:55 PM
90,492590761.0,1.6092914828750295,31768423.45731403,2024 02 17 - 01:04:59 PM
90,492590761.0,1.609376088627724,31773642.19532619,2024 02 17 - 01:07:03 PM
90,492590761.0,1.6093959959856339,31729363.35736455,2024 02 17 - 01:09:07 PM
90,492590761.0,1.6093959959856339,31729363.35736455,2024 02 17 - 01:11:12 PM
90,492590761.0,1.6106124406602904,31652222.45214797,2024 02 17 - 01:13:16 PM
90,492590761.0,1.6106124406602904,31652222.45214797,2024 02 17 - 01:15:20 PM
90,492590761.0,1.6109408985527536,31697088.5350557,2024 02 17 - 01:17:24 PM
90,492590761.0,1.6111145875775787,31698431.50270067,2024 02 17 - 01:19:28 PM
90,492590761.0,1.611789794627272,31708539.04266733,2024 02 17 - 01:21:32 PM
90,492590761.0,1.612159633498377,31676760.20055879,2024 02 17 - 01:23:36 PM
90,492590761.0,1.612159633498377,31676760.20055879,2024 02 17 - 01:25:40 PM
90,492590761.0,1.6128749654837498,31675122.17113855,2024 02 17 - 01:27:44 PM
90,492590761.0,1.6138679194292167,31701295.99354675,2024 02 17 - 01:29:48 PM
90,492590761.0,1.6138679194292167,31701295.99354675,2024 02 17 - 01:31:53 PM
90,492590761.0,1.6132256770506928,31634746.29039651,2024 02 17 - 01:33:57 PM
90,492590761.0,1.6125611968123839,31640274.64934567,2024 02 17 - 01:36:00 PM
90,492590761.0,1.6125611968123839,31640274.64934567,2024 02 17 - 01:38:04 PM
90,492590761.0,1.6115967704815608,31607371.04180454,2024 02 17 - 01:40:09 PM
90,492590761.0,1.6115967704815608,31607371.04180454,2024 02 17 - 01:42:13 PM
89,492590761.0,1.6013367959766631,31681509.95609969,2024 02 17 - 02:31:35 PM
89,492590761.0,1.6017676059444448,31624621.27833246,2024 02 17 - 02:33:40 PM
88,492590761.0,1.6021392297265555,31117222.35678631,2024 02 17 - 03:16:24 PM
88,492590761.0,1.599641151481248,31235545.07152508,2024 02 17 - 03:21:28 PM
89,492590761.0,1.5980158800840967,31333447.97643842,2024 02 17 - 03:26:32 PM
89,492590761.0,1.5959586244556478,31353481.62023707,2024 02 17 - 03:31:46 PM
89,492590761.0,1.5959209004044579,31522149.93930203,2024 02 17 - 03:36:57 PM
89,492590761.0,1.5961368746364715,31547573.55756267,2024 02 17 - 03:42:02 PM
89,492590761.0,1.5967475690417945,31540411.10394731,2024 02 17 - 03:47:07 PM
89,492590761.0,1.5979485817942245,31738377.54582924,2024 02 17 - 03:52:11 PM
89,492590761.0,1.5974827749551002,31754492.01443817,2024 02 17 - 03:57:15 PM
89,492590761.0,1.5976958261148284,31750766.95726181,2024 02 17 - 04:02:19 PM
89,492590761.0,1.5977969557809797,31796829.0917634,2024 02 17 - 04:07:23 PM
89,492590761.0,1.5998405044621211,31786551.80853678,2024 02 17 - 04:12:28 PM
89,492590761.0,1.5997863204837188,31889342.52146262,2024 02 17 - 04:17:32 PM
89,492590761.0,1.5992717246226782,31904498.81577164,2024 02 17 - 04:22:36 PM
89,492590761.0,1.599931645270858,31798594.08351804,2024 02 17 - 04:27:41 PM
89,492590761.0,1.6020223010427512,31770544.2705657,2024 02 17 - 04:32:45 PM
89,492590761.0,1.6028260495206736,31718340.1972106,2024 02 17 - 04:37:52 PM
89,492590761.0,1.6016061701206847,31673700.12710565,2024 02 17 - 04:42:56 PM
89,492590761.0,1.6015343137764277,31570061.48618127,2024 02 17 - 04:48:00 PM
89,492590761.0,1.6013161318997222,31538503.23496363,2024 02 17 - 04:53:04 PM
89,492590761.0,1.6030152445369397,31521386.43895083,2024 02 17 - 04:58:10 PM
89,492590761.0,1.601553830017636,31504553.06240509,2024 02 17 - 05:03:14 PM
89,492590761.0,1.6036202427901012,31440505.42842503,2024 02 17 - 05:08:18 PM
89,492590761.0,1.6058281890500274,31434409.74603068,2024 02 17 - 05:13:22 PM
89,492590761.0,1.6035564902960773,31370916.79235126,2024 02 17 - 05:18:26 PM
89,492590761.0,1.6033489171524906,31370721.96958075,2024 02 17 - 05:23:31 PM
89,492590761.0,1.6027748848929821,31356604.22017301,2024 02 17 - 05:28:35 PM
89,492590761.0,1.6027557411619153,31373646.45075846,2024 02 17 - 05:33:41 PM
88,492590761.0,1.601835622190184,31380575.51914064,2024 02 17 - 05:38:45 PM
89,492590761.0,1.6026315229280865,31356359.32082827,2024 02 17 - 05:43:51 PM
89,492590761.0,1.6016903094810877,31363572.78830064,2024 02 17 - 05:48:55 PM
89,492590761.0,1.6024464861027312,31329515.13726922,2024 02 17 - 05:53:59 PM
89,492590761.0,1.6032554260700242,31278015.48988346,2024 02 17 - 05:59:03 PM
89,492590761.0,1.6022553908222963,31184281.42815199,2024 02 17 - 06:04:07 PM
89,492590761.0,1.600872453050444,31167904.87314116,2024 02 17 - 06:09:11 PM
89,492590761.0,1.6007855537400384,31131129.80553063,2024 02 17 - 06:14:15 PM
89,492590761.0,1.6021280156377593,30963277.20193154,2024 02 17 - 06:19:19 PM
89,492590761.0,1.6036348061347994,31057249.21791053,2024 02 17 - 06:24:23 PM
89,492590761.0,1.6044419125524891,31040983.38818983,2024 02 17 - 06:29:27 PM
89,492590761.0,1.604933077018419,30979909.97825138,2024 02 17 - 06:34:32 PM
89,492590761.0,1.6033109242094752,30885092.62017741,2024 02 17 - 06:39:36 PM
89,492590761.0,1.600377267749414,30908918.09991456,2024 02 17 - 06:44:41 PM
89,492590761.0,1.597699993855972,30925990.46411683,2024 02 17 - 06:49:46 PM
89,492590761.0,1.5982267158705212,30925829.01618148,2024 02 17 - 06:54:50 PM
89,492590761.0,1.5928533600095625,30972087.36040635,2024 02 17 - 06:59:54 PM
89,492590761.0,1.5910214182425904,31016887.24406553,2024 02 17 - 07:04:58 PM
89,492590761.0,1.5878007010453143,30835386.73096642,2024 02 17 - 07:10:03 PM
89,492590761.0,1.5865670558337135,30836413.48337906,2024 02 17 - 07:15:07 PM
89,492590761.0,1.5865155607840866,30879891.18948928,2024 02 17 - 07:20:11 PM
89,492590761.0,1.5840506185664363,30724774.21795532,2024 02 17 - 07:25:15 PM
89,492590761.0,1.5833943891872553,30702415.76018867,2024 02 17 - 07:30:20 PM
89,492590761.0,1.582851249413264,30635845.88993943,2024 02 17 - 07:35:24 PM
89,492590761.0,1.584432167985999,30574688.60602271,2024 02 17 - 07:40:28 PM
88,492590761.0,1.5842562854394322,30427390.90250343,2024 02 17 - 07:45:33 PM
89,492590761.0,1.5821517616867273,30354950.70658346,2024 02 17 - 07:50:37 PM
89,492590761.0,1.5847298453206817,29912423.60735162,2024 02 17 - 07:55:42 PM
89,492590761.0,1.5824567559797018,29908060.05729558,2024 02 17 - 08:00:47 PM
90,492590761.0,1.576529854005343,29899475.40324491,2024 02 17 - 08:05:52 PM
90,492590761.0,1.5700864889439743,30163970.64045026,2024 02 17 - 08:10:56 PM
90,492590761.0,1.5718614323998266,30368033.15076734,2024 02 17 - 08:16:02 PM
90,492590761.0,1.5690735160420295,30448073.2787325,2024 02 17 - 08:21:06 PM
90,492590761.0,1.5696984578700959,30415919.9750199,2024 02 17 - 08:26:10 PM
90,492590761.0,1.5736016067455243,30310920.17881018,2024 02 17 - 08:31:14 PM
89,492590761.0,1.57444879868815,30204527.99343633,2024 02 17 - 08:36:18 PM
88,492590761.0,1.5751079044391554,30148358.13522796,2024 02 17 - 08:41:22 PM
90,492590761.0,1.5742286237954417,30055457.49361517,2024 02 17 - 08:46:27 PM
89,492590761.0,1.5765908231553811,29953987.68416057,2024 02 17 - 08:51:31 PM
