cmcRank,circulatingSupply,price,volume24h,fetched_on
67,2100000000000.0,0.0005312983618933245,129612112.60882437,2024 02 17 - 10:23:52 AM
69,2100000000000.0,0.0005291878407571609,129651286.02163593,2024 02 17 - 10:25:56 AM
69,2100000000000.0,0.0005291878407571609,129651286.02163593,2024 02 17 - 10:27:59 AM
69,2100000000000.0,0.0005284972577340507,129701225.46420772,2024 02 17 - 10:30:03 AM
69,2100000000000.0,0.0005284972577340507,129701225.46420772,2024 02 17 - 10:32:06 AM
69,2100000000000.0,0.0005260290373556559,129735232.05937323,2024 02 17 - 10:34:10 AM
69,2100000000000.0,0.0005257823376222546,129737689.62167753,2024 02 17 - 10:36:14 AM
69,2100000000000.0,0.0005257823376222546,129737689.62167753,2024 02 17 - 10:38:17 AM
68,2100000000000.0,0.0005266920294055069,129752281.46558428,2024 02 17 - 10:40:21 AM
68,2100000000000.0,0.0005275457727430577,129785950.15360126,2024 02 17 - 10:42:24 AM
68,2100000000000.0,0.0005275457727430577,129785950.15360126,2024 02 17 - 10:44:28 AM
68,2100000000000.0,0.000526840521615705,129690570.86855479,2024 02 17 - 10:46:31 AM
68,2100000000000.0,0.000526840521615705,129690570.86855479,2024 02 17 - 10:48:35 AM
68,2100000000000.0,0.0005226189631242465,129851521.01848286,2024 02 17 - 10:50:40 AM
68,2100000000000.0,0.0005226189631242465,129851521.01848286,2024 02 17 - 10:52:43 AM
68,2100000000000.0,0.0005246714995587688,129878858.17584293,2024 02 17 - 10:54:47 AM
68,2100000000000.0,0.0005241512265499186,129810620.4209787,2024 02 17 - 10:56:52 AM
68,2100000000000.0,0.0005241512265499186,129810620.4209787,2024 02 17 - 10:58:57 AM
68,2100000000000.0,0.0005237012542082643,129841704.69049366,2024 02 17 - 11:01:00 AM
68,2100000000000.0,0.0005245920425119092,129830263.17868702,2024 02 17 - 11:03:04 AM
68,2100000000000.0,0.0005245920425119092,129830263.17868702,2024 02 17 - 11:05:08 AM
69,2100000000000.0,0.0005221836881163944,129818564.91658337,2024 02 17 - 11:07:11 AM
68,2100000000000.0,0.0005243466756606795,129793961.61162245,2024 02 17 - 11:08:16 AM
68,2100000000000.0,0.0005243466756606795,129793961.61162245,2024 02 17 - 11:10:20 AM
68,2100000000000.0,0.0005277889396599766,129796710.63951838,2024 02 17 - 11:12:23 AM
68,2100000000000.0,0.0005277889396599766,129796710.63951838,2024 02 17 - 11:14:31 AM
66,2100000000000.0,0.000530163602578557,129771976.90912272,2024 02 17 - 11:16:35 AM
67,2100000000000.0,0.000528703090339132,129783684.14696014,2024 02 17 - 11:18:39 AM
66,2100000000000.0,0.0005298279215671041,129821933.48407176,2024 02 17 - 11:20:42 AM
66,2100000000000.0,0.0005298279215671041,129821933.48407176,2024 02 17 - 11:22:46 AM
68,2100000000000.0,0.0005284547799263507,129831651.46993037,2024 02 17 - 11:24:50 AM
68,2100000000000.0,0.0005284547799263507,129831651.46993037,2024 02 17 - 11:26:54 AM
67,2100000000000.0,0.0005292124396153561,129865925.31955259,2024 02 17 - 11:28:58 AM
67,2100000000000.0,0.000528844162365138,129833536.29594418,2024 02 17 - 11:31:01 AM
67,2100000000000.0,0.0005298038806952507,129874335.30805424,2024 02 17 - 11:33:09 AM
67,2100000000000.0,0.0005298038806952507,129874335.30805424,2024 02 17 - 11:35:23 AM
68,2100000000000.0,0.000527725084890558,129992215.71510717,2024 02 17 - 11:37:28 AM
68,2100000000000.0,0.000527725084890558,129992215.71510717,2024 02 17 - 11:39:34 AM
66,2100000000000.0,0.0005320159025858484,130215408.66810961,2024 02 17 - 11:41:37 AM
66,2100000000000.0,0.0005320159025858484,130215408.66810961,2024 02 17 - 11:43:41 AM
