Last updated time : March 02, 2024 | 09:44:54 AM
id,name,symbol,cmcRank,circulatingSupply,price,volume24h,marketCap,marketCapByTotalSupply
1,Bitcoin,BTC,1,19642350.0,62207.31438055946,39403201639.45425,1221897841622.9822,1221897841622.9822
1027,Ethereum,ETH,2,120138874.305299,3442.044819126584,16358987608.885946,413523389878.25433,413523389878.25433
825,Tether USDt,USDT,3,99179337470.68521,1.001071087062005,78907363958.16956,99285567175.86829,101708901231.70842
1839,BNB,BNB,4,149542091.87067005,413.3444306292685,1570308924.1407335,61812390819.39188,61812390819.39188
5426,Solana,SOL,5,442824977.0026508,130.09426628907752,4184901150.7592363,57608990477.63748,74267863119.34927
52,XRP,XRP,6,54664031281.0,0.6282977830708917,2374351378.8355594,34345289667.570175,62822146018.92996
3408,USDC,USDC,7,29027974120.215637,0.9999979997166657,7423214616.787187,29027916056.042774,29027916056.042774
2010,Cardano,ADA,8,35479781040.454,0.7539560616430764,1215277914.3623555,26750195981.21939,27648646557.962925
74,Dogecoin,DOGE,9,143295616383.70523,0.14028338440072596,4400895716.766212,20101994036.094284,20101994036.094284
5805,Avalanche,AVAX,10,377242940.275025,43.60387644288178,712277868.7115412,16449254556.70162,19008350367.738834
1958,TRON,TRX,11,87967250069.65106,0.14111362813478767,343160051.15500474,12413377814.368614,12413378596.739563
1975,Chainlink,LINK,12,587099970.4527867,20.67099279756832,551021080.6729282,12135939260.682127,20670992797.56832
5994,Shiba Inu,SHIB,13,589289556161287.0,1.994227414130267e-05,3926343421.5586166,11751773877.57496,11756650999.52419
6636,Polkadot,DOT,14,1289881693.037525,9.008321369813029,393862450.78715354,11619668819.920546,12765171304.68961
3890,Polygon,MATIC,15,9899153489.540216,1.0711494937772388,571921667.228933,10603473249.14419,10711494937.772388
11419,Toncoin,TON,16,3468042189.8117785,2.7420212059543427,185612062.3545435,9509445227.608232,13994043769.96577
1831,Bitcoin Cash,BCH,17,19656956.25,399.65394438481246,1056575029.1381383,7855980099.912191,7855980099.912191
7083,Uniswap,UNI,18,598736139.71,13.101429171889304,536185763.72745574,7844299127.060984,13101429171.889303
2,Litecoin,LTC,19,74264662.35750493,90.16480383383944,778947402.709653,6696058713.250752,7573843522.042513
8916,Internet Computer,ICP,20,459568509.2194054,13.425869593968493,167848252.76826093,6170106874.274244,6914144671.819696
4943,Dai,DAI,21,5347888595.7464075,1.000114732116128,230652853.34917867,5348502170.321815,5348502170.321815
1321,Ethereum Classic,ETC,22,145822843.76562646,33.685779197389074,575356628.3844947,4912156117.024257,7097593676.889878
3794,Cosmos,ATOM,23,388652314.0,11.934004702990903,220717660.51091948,4638178543.104298,4638178543.104298
10603,Immutable,IMX,24,1389224659.3898141,3.208605802673685,95817765.16126275,4457474303.335531,6417211605.34737
2280,Filecoin,FIL,25,518525260.0,8.58499127312378,485036036.5025067,4451534831.994239,16833994919.238085
3957,UNUS SED LEO,LEO,26,927239301.9,4.800128028859309,1614205.87057898,4450867362.510129,4729275758.289844
21794,Aptos,APT,27,367665493.21523863,12.006970303349453,282022479.03593206,4414548658.6017,13012844457.072615
6535,NEAR Protocol,NEAR,28,1043761976.0,4.07692248424387,295953922.4854176,4255336668.1532106,4803699486.204654
22974,Bittensor,TAO,29,6344975.0,669.7021124496791,54320914.79365674,4249243160.9404025,4249243160.9404025
4847,Stacks,STX,30,1444260010.526846,2.916490567271767,192473024.4557556,4212170697.3893695,5302179851.300073
7226,Injective,INJ,31,93400000.0,44.14538542885704,316251842.31561595,4123178999.0552473,4414538542.885704
4642,Hedera,HBAR,32,33685311908.65241,0.11756621969167283,107831441.58426295,3960254780.2351522,5878310984.583641
20396,Kaspa,KAS,33,22872444484.30234,0.17189545589672173,66230298.65613837,3931669272.101609,3931669227.129295
11840,Optimism,OP,34,1006141600.0,3.8918112730940884,235738596.7573199,3915713221.208923,16715202140.143234
512,Stellar,XLM,35,28538020474.75985,0.13177674536310421,178689518.70704225,3760647457.269483,6589072757.115284
3077,VeChain,VET,36,72714516834.0,0.0500797125860265,101676001.45117845,3641522103.8785057,4306106148.841814
26081,First Digital USD,FDUSD,37,3252537340.2,0.9985496060517491,9819734946.080372,3247819879.7253137,3247819879.7253137
3897,OKB,OKB,38,60000000.0,52.62049795681656,9749549.58677809,3157229877.4089937,15786149387.044968
3635,Cronos,CRO,39,25263013692.0,0.12283774420365609,57654500.42361456,3103251613.7113576,3717440334.729638
8000,Lido DAO,LDO,40,891677907.1336529,3.399360807768386,108215902.3159955,3031134930.6630783,3399360807.768386
27075,Mantle,MNT,41,3231662126.0331407,0.9292310927264994,177399898.15341482,3002960928.6966176,5779182541.420828
6719,The Graph,GRT,42,9417631221.947798,0.31590312514197816,458990760.87803435,2975059134.447976,3410133504.3098583
5690,Render,RNDR,43,378257446.68794847,7.71149598689402,325753931.94477713,2916930782.1468935,4095112311.962804
22861,Celestia,TIA,44,167783253.777302,16.887848019427842,134548696.62536195,2833498089.9961686,17339424448.65806
328,Monero,XMR,45,18404799.00644019,140.636523868822,68370963.32617615,2588386954.7700973,2588386954.7700973
11841,Arbitrum,ARB,46,1275000000.0,1.9947564761372518,515151608.6038446,2543314507.074996,19947564761.372517
23149,Sei,SEI,47,2550000000.0,0.8526643405760307,315777381.67353773,2174294068.4688783,8526643405.760307
20947,Sui,SUI,48,1230916717.7942307,1.6676504991733034,360593588.68633604,2052738878.8703132,16676504991.733034
4157,THORChain,RUNE,49,340788939.0,5.808690137810004,269783436.55505055,1979537349.044035,2804655939.5776677
1518,Maker,MKR,50,923288.10402412,2131.589232174956,56190988.14009529,1968070980.7330449,2083907791.4045537
2416,Theta Network,THETA,51,1000000000.0,1.9372080280944712,108884480.28960098,1937208028.0944712,1937208028.0944712
28298,Beam,BEAM,52,52209535234.058105,0.036975406928338346,60175184.92240667,1930468810.818717,2327790536.8502913
3602,Bitcoin SV,BSV,53,19649312.5,97.17995994623175,178238114.60560706,1909519401.720991,1909519401.720991
4030,Algorand,ALGO,54,8052735298.237497,0.23330434439720976,110594088.75975055,1878738129.3595686,1878738129.3595686
6892,MultiversX,EGLD,55,26640857.0,66.3694014542479,49700560.79238614,1768137733.3182104,1768479668.4745026
4558,Flow,FLOW,56,1492052308.0,1.1642620576945932,117341910.47556192,1737139890.300047,1737139890.2301793
24478,Pepe,PEPE,57,420689899999994.8,4.107540604345957e-06,1924817833.7019901,1728000846.088219,1728000846.088219
5632,Arweave,AR,58,65454185.0,26.114135477323774,163467391.26945,1709279454.6478136,1709279454.6478136
7278,Aave,AAVE,59,14751615.59551428,114.43228825863673,144083664.7209985,1688061128.1064913,1830916612.1381876
25028,ORDI,ORDI,60,21000000.0,76.86553179747924,332145766.221632,1614176167.747064,1614176167.747064
7950,Flare,FLR,61,34813539261.72344,0.04595363339285023,38132747.52971844,1599808620.3408368,4621087594.959926
23095,Bonk,BONK,62,65191332386576.0,2.4189032337458972e-05,743965061.4096954,1576915247.2209232,2262307550.991053
6210,The Sandbox,SAND,63,2241731926.2233224,0.6719882135304828,370789098.99927443,1506417432.3170586,2015964640.5914483
