cmcRank,circulatingSupply,price,volume24h,fetched_on
88,229295792.927476,4.7999552854863445,7680152.19114633,2024 03 02 - 08:49:10 AM
88,229295792.927476,4.797347056529907,7673962.76719134,2024 03 02 - 08:54:21 AM
88,229295792.927476,4.787581897683015,7689060.47056001,2024 03 02 - 08:59:28 AM
88,229295792.927476,4.787364605118355,7712521.63837796,2024 03 02 - 09:04:29 AM
88,229295792.927476,4.789149314575483,7726329.25473793,2024 03 02 - 09:09:31 AM
88,229295792.927476,4.7862301923495965,7724209.57619432,2024 03 02 - 09:14:33 AM
88,229295792.927476,4.785873036359878,7679320.0422888,2024 03 02 - 09:19:35 AM
88,229295792.927476,4.7855999236842495,7675071.7963464,2024 03 02 - 09:24:37 AM
88,229295792.927476,4.783919963236096,7653816.97561453,2024 03 02 - 09:29:44 AM
89,229295792.927476,4.787506126430715,7654223.83231294,2024 03 02 - 09:34:46 AM
89,229295792.927476,4.7910778343438585,7622307.47235732,2024 03 02 - 09:39:52 AM
89,229303414.012696,4.785863269052072,7617321.49895418,2024 03 02 - 09:44:54 AM
93,229394663.667297,4.614320513201566,6070241.30204836,2024 03 03 - 11:23:52 AM
93,229394663.667297,4.616108091686981,6065389.10556935,2024 03 03 - 11:29:01 AM
93,229394663.667297,4.612113227851616,6062926.44732193,2024 03 03 - 11:35:11 AM
94,229402258.219001,4.613996365608991,6070065.70482502,2024 03 03 - 11:40:13 AM
93,229402258.219001,4.612215157351693,6068476.43139026,2024 03 03 - 11:47:26 AM
93,229402258.219001,4.608384989840037,6061253.61041918,2024 03 03 - 11:54:32 AM
94,229402258.219001,4.603808247961903,6055964.75115806,2024 03 03 - 12:00:47 PM
