cmcRank,circulatingSupply,price,volume24h,fetched_on
100,63333513043628.45,1.2001823763986676e-05,106520441.17123115,2024 02 21 - 08:21:02 AM
99,63333513043628.45,1.2020425786425334e-05,106568534.89598593,2024 02 21 - 08:26:09 AM
99,63333513043628.45,1.2020201764769771e-05,106579277.92770085,2024 02 21 - 08:31:11 AM
99,63333513043628.45,1.2023819537793983e-05,106296207.60875341,2024 02 21 - 08:36:13 AM
99,63333513043628.45,1.2068954969862186e-05,106410820.8161127,2024 02 21 - 08:41:15 AM
99,63333513043628.45,1.2053497872808942e-05,106418558.40032482,2024 02 21 - 08:46:21 AM
99,63333513043628.45,1.2071027175135723e-05,106465219.01374891,2024 02 21 - 08:51:24 AM
99,63333513043628.45,1.2101113512080877e-05,106470483.14994448,2024 02 21 - 08:56:26 AM
99,63333513043628.45,1.2121453470613813e-05,106425136.90992361,2024 02 21 - 09:01:29 AM
99,63333513043628.45,1.2111954682595513e-05,106375167.60264608,2024 02 21 - 09:06:34 AM
99,63333513043628.45,1.2106275191384988e-05,106307559.05750936,2024 02 21 - 09:11:36 AM
99,63333513043628.45,1.2089001256222926e-05,106274431.21248403,2024 02 21 - 09:16:38 AM
99,63333513043628.45,1.2079312408111659e-05,106230393.50221479,2024 02 21 - 09:21:41 AM
100,63333513043628.45,1.2099962311600867e-05,106230937.41924252,2024 02 21 - 09:26:43 AM
100,63333513043628.45,1.209111658949771e-05,106087704.95796676,2024 02 21 - 09:31:46 AM
100,63333513043628.45,1.2103185228620837e-05,105457322.0655226,2024 02 21 - 09:36:49 AM
99,63333513043628.45,1.2115828322022204e-05,104756987.70093581,2024 02 21 - 09:41:52 AM
100,63333513043628.45,1.2131659259254233e-05,104468381.84205294,2024 02 21 - 09:46:58 AM
100,63333513043628.45,1.2073956032802252e-05,104016604.5030435,2024 02 21 - 09:52:00 AM
99,63333513043628.45,1.2046214327601451e-05,103292481.83005695,2024 02 21 - 09:57:03 AM
99,63333513043628.45,1.2029385906741307e-05,102431933.93106209,2024 02 21 - 10:02:05 AM
99,63333513043628.45,1.1979917293250286e-05,102007542.93008085,2024 02 21 - 10:07:10 AM
99,63333513043628.45,1.1968055904624903e-05,102240978.20817555,2024 02 21 - 10:12:12 AM
99,63333513043628.45,1.198639081848556e-05,102373065.47484566,2024 02 21 - 10:17:15 AM
99,63333513043628.45,1.198277107479196e-05,102327115.80254921,2024 02 21 - 10:22:17 AM
100,63333513043628.45,1.1971537460122317e-05,102343974.72564204,2024 02 21 - 10:27:19 AM
99,63333513043628.45,1.1998009070122162e-05,102446619.71640709,2024 02 21 - 10:32:22 AM
99,63333513043628.45,1.201561702715337e-05,102259660.44228306,2024 02 21 - 10:37:24 AM
