cmcRank,circulatingSupply,price,volume24h,fetched_on
76,96496827.28902875,10.45341103288521,1796059.47257943,2024 02 21 - 09:41:52 AM
76,96496827.28902875,10.488435950711096,1811719.09594798,2024 02 21 - 09:46:58 AM
76,96496827.28902875,10.471004307386128,1808908.62014342,2024 02 21 - 09:52:00 AM
76,96496827.28902875,10.462782666807062,1807074.68559107,2024 02 21 - 09:57:03 AM
76,96496827.28902875,10.459661052564758,1806476.04542303,2024 02 21 - 10:02:05 AM
76,96496827.28902875,10.405225006474671,1803589.83677888,2024 02 21 - 10:07:10 AM
76,96496827.28902875,10.400694907033794,1801682.65436731,2024 02 21 - 10:12:12 AM
76,96496827.28902875,10.417635342768268,1801702.57967457,2024 02 21 - 10:17:15 AM
76,96496827.28902875,10.406686422264471,1798723.9254658,2024 02 21 - 10:22:17 AM
76,96496827.28902875,10.419727668337744,1800384.40022698,2024 02 21 - 10:27:19 AM
76,96496827.28902875,10.426253005406629,1802902.10127565,2024 02 21 - 10:32:22 AM
76,96496827.28902875,10.441818036963324,1804323.54215711,2024 02 21 - 10:37:24 AM
76,96496827.28902875,10.456300439284647,1807245.08626831,2024 02 21 - 10:42:27 AM
76,96496827.28902875,10.445431438791017,1810180.99735823,2024 02 21 - 10:47:29 AM
76,96496827.28902875,10.4455524094226,1810355.14162213,2024 02 21 - 10:52:32 AM
76,96496827.28902875,10.446154970312211,1809615.39589752,2024 02 21 - 10:57:34 AM
76,96496827.28902875,10.446490815820919,1807102.83339101,2024 02 21 - 11:02:36 AM
76,96496827.28902875,10.436874784316327,1807465.69413715,2024 02 21 - 11:07:41 AM
76,96496827.28902875,10.43260997444999,1810920.63768543,2024 02 21 - 11:12:43 AM
75,96496827.28902875,10.409310302938163,1809578.34699528,2024 02 21 - 11:17:49 AM
75,96496827.28902875,10.406921580531227,1805722.05362518,2024 02 21 - 11:22:51 AM
75,96496827.28902875,10.415452037621478,1804641.29911086,2024 02 21 - 11:27:56 AM
75,96496827.28902875,10.418365618570666,1802143.29663648,2024 02 21 - 11:32:59 AM
75,96496827.28902875,10.39693763956064,1775110.44555646,2024 02 21 - 11:38:01 AM
75,96496827.28902875,10.41142998742676,1769921.05477964,2024 02 21 - 11:43:03 AM
75,96496827.28902875,10.429762616222824,1770914.78103275,2024 02 21 - 11:48:09 AM
