cmcRank,circulatingSupply,price,volume24h,fetched_on
100,251000000.0,3.0569161479113482,298784390.00657284,2024 02 21 - 09:41:52 AM
99,251000000.0,3.061557971943778,298442874.43423337,2024 02 21 - 09:46:58 AM
99,251000000.0,3.0486050344659246,297639900.2669061,2024 02 21 - 09:52:00 AM
100,251000000.0,3.0279807944090837,297680819.42947745,2024 02 21 - 09:57:03 AM
100,251000000.0,3.0107068730157858,297839980.8104987,2024 02 21 - 10:02:05 AM
100,251000000.0,2.9930257041862003,298160001.6339672,2024 02 21 - 10:07:10 AM
100,251000000.0,2.9999303735233798,298865496.00885063,2024 02 21 - 10:12:12 AM
100,251000000.0,3.012978404311177,299264014.51073706,2024 02 21 - 10:17:15 AM
100,251000000.0,3.0231259948784017,299774537.3830186,2024 02 21 - 10:22:17 AM
99,251000000.0,3.0245645441184505,299929738.9957533,2024 02 21 - 10:27:19 AM
100,251000000.0,3.024995805583243,299917419.89457774,2024 02 21 - 10:32:22 AM
100,251000000.0,3.029096318892089,299902434.515517,2024 02 21 - 10:37:24 AM
100,251000000.0,3.0344999419626473,299737654.22602046,2024 02 21 - 10:42:27 AM
99,251000000.0,3.0551014164232226,299952322.06548274,2024 02 21 - 10:47:29 AM
99,251000000.0,3.0636826542843942,300161029.191421,2024 02 21 - 10:52:32 AM
99,251000000.0,3.0685554747288566,300661284.636782,2024 02 21 - 10:57:34 AM
99,251000000.0,3.0675120888696306,300295013.2292575,2024 02 21 - 11:02:36 AM
99,251000000.0,3.0866009942835193,300842956.7208416,2024 02 21 - 11:07:41 AM
98,251000000.0,3.1044775029243814,301574147.8751606,2024 02 21 - 11:12:43 AM
97,251000000.0,3.0981928170177415,303758004.25756556,2024 02 21 - 11:17:49 AM
98,251000000.0,3.0830061040127408,305060587.22424805,2024 02 21 - 11:22:51 AM
99,251000000.0,3.0551919704185484,305689583.08328825,2024 02 21 - 11:27:56 AM
99,251000000.0,3.054711476127341,305715197.98756766,2024 02 21 - 11:32:59 AM
99,251000000.0,3.0658470668119406,305781262.6338084,2024 02 21 - 11:38:01 AM
98,251000000.0,3.0907285687648427,306115635.7553184,2024 02 21 - 11:43:03 AM
96,251000000.0,3.122864721671542,308938101.042807,2024 02 21 - 11:48:09 AM
96,251000000.0,3.1342411962986163,310430468.2227614,2024 02 21 - 11:53:12 AM
96,251000000.0,3.130284712779684,311329813.3284258,2024 02 21 - 11:58:15 AM
95,251000000.0,3.137264116096244,312180260.69808084,2024 02 21 - 12:03:18 PM
94,251000000.0,3.1350097638473184,313075106.4600977,2024 02 21 - 12:08:20 PM
97,251000000.0,3.1152441224753757,313458375.03225034,2024 02 21 - 12:14:23 PM
96,251000000.0,3.1196552038271053,314618050.6541722,2024 02 21 - 12:19:25 PM
97,251000000.0,3.0979290015614094,315338677.4895994,2024 02 21 - 12:24:27 PM
93,251000000.0,3.1348541606161806,316552435.71070266,2024 02 21 - 12:29:30 PM
95,251000000.0,3.1090345360351237,316811840.3328788,2024 02 21 - 12:34:32 PM
96,251000000.0,3.0835421319528526,318014068.5321303,2024 02 21 - 12:39:34 PM
95,251000000.0,3.1071512939287,319036586.03690404,2024 02 21 - 12:44:37 PM
93,251000000.0,3.1409957582214996,320281140.9975961,2024 02 21 - 12:49:42 PM
93,251000000.0,3.136002581496414,321215252.69507706,2024 02 21 - 12:54:44 PM
93,251000000.0,3.1279770153329007,321250299.1571164,2024 02 21 - 12:59:47 PM
93,251000000.0,3.1371332346873224,322251058.5847537,2024 02 21 - 01:04:49 PM
93,251000000.0,3.1285520582894635,322818383.0018246,2024 02 21 - 01:09:52 PM
93,251000000.0,3.134860546558443,323144292.7954556,2024 02 21 - 01:14:54 PM
93,251000000.0,3.1210379404964184,323602210.6734806,2024 02 21 - 01:19:57 PM
93,251000000.0,3.1210117958587418,324008563.2483902,2024 02 21 - 01:25:00 PM
93,251000000.0,3.135816190225446,324541897.5347078,2024 02 21 - 01:30:03 PM
93,251000000.0,3.1322697934427963,324413980.40622383,2024 02 21 - 01:35:06 PM
93,251000000.0,3.156920622161895,325642997.6983622,2024 02 21 - 01:40:09 PM
93,251000000.0,3.1500444395548977,327670683.0745083,2024 02 21 - 01:45:11 PM
