cmcRank,circulatingSupply,price,volume24h,fetched_on
96,6713599876.0,0.11624085352731171,74167206.86601043,2024 02 22 - 09:39:27 AM
96,6713599876.0,0.11624085352731171,74167206.86601043,2024 02 22 - 09:40:12 AM
95,6713599876.0,0.11642382995091442,74070102.43705219,2024 02 22 - 09:45:18 AM
96,6713599876.0,0.11637775470085375,74088334.08242764,2024 02 22 - 09:50:22 AM
96,6713599876.0,0.11641261796657582,73947477.01077315,2024 02 22 - 09:55:39 AM
95,6713599876.0,0.11630852457882483,73968507.46214399,2024 02 22 - 10:00:51 AM
95,6713599876.0,0.11627175245651225,73914459.24419811,2024 02 22 - 10:05:54 AM
95,6713599876.0,0.11604742196649936,73852718.04713584,2024 02 22 - 10:10:57 AM
95,6713599876.0,0.11597165404734536,73820959.53463955,2024 02 22 - 10:16:03 AM
95,6713599876.0,0.1160223719644101,73830976.65878473,2024 02 22 - 10:21:05 AM
95,6713599876.0,0.11613474952990145,73825624.68594924,2024 02 22 - 10:26:09 AM
95,6713599876.0,0.11598358367574235,73826249.48152792,2024 02 22 - 10:31:12 AM
94,6713599876.0,0.11629878344376639,73520871.16287217,2024 02 22 - 10:36:17 AM
96,6713599876.0,0.11641113625966706,73553276.76080124,2024 02 22 - 10:41:21 AM
96,6713599876.0,0.11656048862168665,73574698.65009224,2024 02 22 - 10:46:24 AM
96,6713599876.0,0.11684959022696911,73475650.02652885,2024 02 22 - 10:51:27 AM
96,6713599876.0,0.11730929459798682,73523326.56070831,2024 02 22 - 10:56:29 AM
96,6713599876.0,0.11724780511329633,73563195.8256418,2024 02 22 - 11:01:31 AM
96,6713599876.0,0.1170588148689055,73588808.73331921,2024 02 22 - 11:06:36 AM
96,6713599876.0,0.11698785392360916,73505360.37379584,2024 02 22 - 11:11:38 AM
96,6713599876.0,0.11715507221288661,73395449.30012156,2024 02 22 - 11:16:40 AM
96,6713599876.0,0.11728271327632725,73062823.99988984,2024 02 22 - 11:21:43 AM
96,6713599876.0,0.11702048175772092,72896317.64755203,2024 02 22 - 11:26:53 AM
96,6713599876.0,0.11681588616707489,72878470.44235465,2024 02 22 - 11:31:56 AM
96,6713599876.0,0.11689571333285252,72786260.25793016,2024 02 22 - 11:37:01 AM
96,6713599876.0,0.11701945527358704,72283707.15242922,2024 02 22 - 11:42:04 AM
96,6713599876.0,0.1171189520704971,72090739.73040228,2024 02 22 - 11:47:08 AM
96,6713599876.0,0.11700385655954901,72001691.05170009,2024 02 22 - 11:52:13 AM
96,6713599876.0,0.117516036386354,71984049.55730413,2024 02 22 - 11:57:15 AM
96,6713599876.0,0.11796802808250698,72148379.5777903,2024 02 22 - 12:02:17 PM
95,6713599876.0,0.11815735529707687,72278679.89491726,2024 02 22 - 12:07:23 PM
94,6713599876.0,0.11877242086138812,72378574.18063201,2024 02 22 - 12:12:26 PM
94,6713599876.0,0.1189389638808881,72632346.42453954,2024 02 22 - 12:17:31 PM
95,6713599876.0,0.11943675937143136,72904530.07884686,2024 02 22 - 12:22:34 PM
94,6713599876.0,0.11979952066375606,73189384.14582606,2024 02 22 - 12:27:42 PM
94,6713599876.0,0.11995611693745041,73218792.76833132,2024 02 22 - 12:32:44 PM
95,6713599876.0,0.11966706404992804,73023736.83737919,2024 02 22 - 12:37:47 PM
95,6713599876.0,0.11938283649764136,72559897.41230431,2024 02 22 - 12:42:51 PM
95,6713599876.0,0.11937100095514427,72467768.89899471,2024 02 22 - 12:47:57 PM
94,6713599876.0,0.11982411268515032,72646992.17448552,2024 02 22 - 12:53:01 PM
94,6713599876.0,0.12002842494724472,73083097.09992023,2024 02 22 - 12:58:08 PM
94,6713599876.0,0.12098367051906551,73645366.70796601,2024 02 22 - 01:03:11 PM
94,6713599876.0,0.1213544333451754,74019705.75660966,2024 02 22 - 01:08:17 PM
93,6713599876.0,0.12241347149068377,74758878.49599071,2024 02 22 - 01:13:20 PM
93,6713599876.0,0.1218208761963455,75427183.96282694,2024 02 22 - 01:18:24 PM
94,6713599876.0,0.12163556852131384,75533359.6486207,2024 02 22 - 01:23:27 PM
93,6713599876.0,0.1213075065518941,75943432.2584143,2024 02 22 - 01:28:30 PM
93,6713599876.0,0.1214614937419627,75920407.82904813,2024 02 22 - 01:33:33 PM
93,6713599876.0,0.12214353237682203,75996085.40175253,2024 02 22 - 01:38:37 PM
93,6713599876.0,0.12225468880061116,76082115.5671723,2024 02 22 - 01:43:40 PM
93,6713599876.0,0.12206308560278897,76172762.43298602,2024 02 22 - 01:48:47 PM
93,6713599876.0,0.12202729009038969,76339258.67236266,2024 02 22 - 01:53:50 PM
93,6713599876.0,0.12187553389324787,76420246.0015774,2024 02 22 - 01:58:53 PM
93,6713599876.0,0.12165060400594237,75932296.1214945,2024 02 22 - 02:03:56 PM
97,6713599876.0,0.11851948605737006,65618924.53971677,2024 02 22 - 07:08:32 PM
97,6713599876.0,0.11847726695917343,65621375.38687541,2024 02 22 - 07:13:40 PM
96,6713599876.0,0.1180205892617092,65734692.59085207,2024 02 22 - 07:18:44 PM
96,6713599876.0,0.11793290311318329,65578000.74258844,2024 02 22 - 07:23:46 PM
96,6713599876.0,0.11828103366461686,65526367.6474653,2024 02 22 - 07:28:49 PM
96,6713599876.0,0.11860877867307905,65502899.30665894,2024 02 22 - 07:33:54 PM
96,6713599876.0,0.11862687459367416,65472911.40316972,2024 02 22 - 07:38:57 PM
96,6713599876.0,0.11907725748552325,65499730.12077071,2024 02 22 - 07:43:59 PM
96,6713599876.0,0.11934262914962068,65568905.33129847,2024 02 22 - 07:49:02 PM
96,6713599876.0,0.11917585548699014,65189838.52206868,2024 02 22 - 07:54:08 PM
96,6713599876.0,0.11906744527098291,65116767.8346887,2024 02 22 - 07:59:11 PM
96,6713599876.0,0.11922769373103254,64735189.74372064,2024 02 22 - 08:04:13 PM
96,6713599876.0,0.11938712585111183,64511034.50075652,2024 02 22 - 08:09:16 PM
96,6713599876.0,0.11948351616016256,63879650.90762208,2024 02 22 - 08:14:23 PM
96,6713599876.0,0.11972052555321824,63817228.37867713,2024 02 22 - 08:19:26 PM
96,6713599876.0,0.11968850481276032,63693642.26227244,2024 02 22 - 08:24:29 PM
96,6713599876.0,0.12013989245558442,63479119.03575604,2024 02 22 - 08:29:31 PM
96,6713599876.0,0.12031024547082021,63406400.81936518,2024 02 22 - 08:34:36 PM
96,6713599876.0,0.12002941313978521,63238102.39505878,2024 02 22 - 08:39:39 PM
96,6713599876.0,0.11971894689466762,62980739.4834832,2024 02 22 - 08:44:42 PM
96,6713599876.0,0.11971465935474107,62843346.45296218,2024 02 22 - 08:49:44 PM
96,6713599876.0,0.11972177256194598,62633851.89707613,2024 02 22 - 08:54:50 PM
96,6713599876.0,0.1199816406751087,62244199.84424885,2024 02 22 - 08:59:52 PM
96,6713599876.0,0.12083995869645048,62244811.9292222,2024 02 22 - 09:04:56 PM
96,6713599876.0,0.12109995662896227,62058980.10271832,2024 02 22 - 09:09:59 PM
96,6713599876.0,0.1209422079326736,62003621.35338173,2024 02 22 - 09:15:02 PM
98,6713599876.0,0.12074680523172315,61638517.1150981,2024 02 22 - 09:20:05 PM
98,6713599876.0,0.12062253836199395,61459496.58913355,2024 02 22 - 09:25:08 PM
97,6713599876.0,0.12108918822149108,61320569.94733416,2024 02 22 - 09:30:10 PM
97,6713599876.0,0.12119238055317746,61233710.20783032,2024 02 22 - 09:35:16 PM
98,6713599876.0,0.12092113053520447,61346596.27324281,2024 02 22 - 09:40:19 PM
98,6713599876.0,0.12094619409686608,61341914.35968275,2024 02 22 - 09:45:22 PM
98,6713599876.0,0.12086786280127955,61475657.29495189,2024 02 22 - 09:50:24 PM
98,6713599876.0,0.12030269635498103,61651236.42847545,2024 02 22 - 09:55:27 PM
98,6713599876.0,0.12057793327385624,61731676.54085741,2024 02 22 - 10:00:33 PM
98,6713599876.0,0.12115913660188914,62450954.14996588,2024 02 22 - 10:05:36 PM
98,6713599876.0,0.12113718816840949,62456840.69155037,2024 02 22 - 10:10:39 PM
98,6713599876.0,0.12068486095451868,62605774.82193007,2024 02 22 - 10:15:45 PM
97,6713599876.0,0.12053871704335904,62321632.54176567,2024 02 22 - 10:20:49 PM
98,6713599876.0,0.1204100485451642,62287092.70702547,2024 02 22 - 10:25:51 PM
96,6713599876.0,0.11964104999045759,57962430.92205445,2024 02 23 - 08:46:35 AM
96,6713599876.0,0.11955778772776819,57974517.23107092,2024 02 23 - 08:51:44 AM
96,6713599876.0,0.11961779393315149,58188712.92947502,2024 02 23 - 08:56:47 AM
96,6713599876.0,0.11923317266235811,58409146.7058583,2024 02 23 - 09:01:51 AM
96,6713599876.0,0.1193102334810053,58571600.0273968,2024 02 23 - 09:06:55 AM
96,6713599876.0,0.1194299504585985,58752923.99347436,2024 02 23 - 09:12:01 AM
96,6713599876.0,0.11950577873021025,58771686.9902106,2024 02 23 - 09:17:06 AM
96,6713599876.0,0.11969916023979206,58795273.60925606,2024 02 23 - 09:22:08 AM
96,6713599876.0,0.11981987146554686,58331034.89634117,2024 02 23 - 09:27:11 AM
96,6713599876.0,0.11990336995594314,58272710.0989737,2024 02 23 - 09:32:15 AM
96,6713599876.0,0.11942196692589764,58227999.26908305,2024 02 23 - 09:37:19 AM
96,6713599876.0,0.11872745896782251,58385264.48369992,2024 02 23 - 09:42:23 AM
96,6713599876.0,0.11877017321155912,58433972.5048923,2024 02 23 - 09:47:26 AM
96,6713599876.0,0.11919415176516429,58441579.8719129,2024 02 23 - 09:52:28 AM
96,6713599876.0,0.11999907770165422,58501862.59644417,2024 02 23 - 09:57:31 AM
95,6713599876.0,0.12048483799232008,58627591.95537052,2024 02 23 - 10:02:36 AM
95,6713599876.0,0.12094390934605934,58717840.27161787,2024 02 23 - 10:07:39 AM
95,6713599876.0,0.12058730519474171,58888770.65691313,2024 02 23 - 10:12:42 AM
95,6713599876.0,0.12070800027217261,58872230.81018432,2024 02 23 - 10:17:45 AM
95,6713599876.0,0.12072362504424135,58878242.87089699,2024 02 23 - 10:22:48 AM
95,6713599876.0,0.12052734836062273,58862402.57383503,2024 02 23 - 10:27:51 AM
95,6713599876.0,0.12082586741905157,58874974.29972379,2024 02 23 - 10:32:54 AM
95,6713599876.0,0.12042757099629303,58837611.29198196,2024 02 23 - 10:37:57 AM
95,6713599876.0,0.12061457088103265,58796874.97195639,2024 02 23 - 10:43:03 AM
95,6713599876.0,0.12082860531491499,58847741.12501647,2024 02 23 - 10:48:07 AM
95,6713599876.0,0.12061056761511774,58807856.22586374,2024 02 23 - 10:53:14 AM
95,6713599876.0,0.12047990900341968,58747973.29385643,2024 02 23 - 10:58:17 AM
95,6713599876.0,0.12040073502006414,58669885.12940773,2024 02 23 - 11:03:20 AM
