cmcRank,circulatingSupply,price,volume24h,fetched_on
45,2550000000.0,0.9057510278736453,431950703.05801016,2024 02 21 - 09:41:52 AM
46,2550000000.0,0.905516352196299,430727735.8368051,2024 02 21 - 09:46:58 AM
45,2550000000.0,0.9020395660971715,430078942.8269066,2024 02 21 - 09:52:00 AM
45,2550000000.0,0.9025969144508564,429893149.8120409,2024 02 21 - 09:57:03 AM
45,2550000000.0,0.9018404445952932,429827353.19820434,2024 02 21 - 10:02:05 AM
45,2550000000.0,0.8968658211786518,430282440.6346493,2024 02 21 - 10:07:10 AM
45,2550000000.0,0.8966282306683848,430701615.63442016,2024 02 21 - 10:12:12 AM
44,2550000000.0,0.8983827133733427,430644940.7019539,2024 02 21 - 10:17:15 AM
44,2550000000.0,0.902112550321521,430625360.517917,2024 02 21 - 10:22:17 AM
44,2550000000.0,0.8994287125527536,430213488.2855443,2024 02 21 - 10:27:19 AM
44,2550000000.0,0.8983265318827134,429834221.37794745,2024 02 21 - 10:32:22 AM
44,2550000000.0,0.8994002579032266,429609041.6653937,2024 02 21 - 10:37:24 AM
44,2550000000.0,0.9042802171712343,430152054.68407685,2024 02 21 - 10:42:27 AM
43,2550000000.0,0.9062335325508235,431232350.62221783,2024 02 21 - 10:47:29 AM
44,2550000000.0,0.9048933954209594,431052459.6123939,2024 02 21 - 10:52:32 AM
45,2550000000.0,0.8975981374782347,431186414.0276927,2024 02 21 - 10:57:34 AM
45,2550000000.0,0.8960679823790629,431035040.16417456,2024 02 21 - 11:02:36 AM
45,2550000000.0,0.8969193377179088,430670641.1038336,2024 02 21 - 11:07:41 AM
45,2550000000.0,0.8943977673069009,430688373.1267212,2024 02 21 - 11:12:43 AM
45,2550000000.0,0.8937591458717132,430656063.9484664,2024 02 21 - 11:17:49 AM
45,2550000000.0,0.8911485685885328,430949896.7241643,2024 02 21 - 11:22:51 AM
45,2550000000.0,0.8889157353663979,432080270.5013744,2024 02 21 - 11:27:56 AM
45,2550000000.0,0.8902946465011938,432359730.32896286,2024 02 21 - 11:32:59 AM
45,2550000000.0,0.8900799129870941,431692421.31717134,2024 02 21 - 11:38:01 AM
45,2550000000.0,0.8909737492919612,432995480.84958744,2024 02 21 - 11:43:03 AM
45,2550000000.0,0.8924518647923814,433148340.8214049,2024 02 21 - 11:48:09 AM
45,2550000000.0,0.8918498444032285,432990630.0562983,2024 02 21 - 11:53:12 AM
45,2550000000.0,0.8923244673840862,432614070.2551216,2024 02 21 - 11:58:15 AM
45,2550000000.0,0.8915369605896285,432472288.95482266,2024 02 21 - 12:03:18 PM
45,2550000000.0,0.8900384514505321,432325675.6204317,2024 02 21 - 12:08:20 PM
45,2550000000.0,0.8869660845263562,432367228.82817626,2024 02 21 - 12:14:23 PM
45,2550000000.0,0.8874962287822312,432952669.1893578,2024 02 21 - 12:19:25 PM
45,2550000000.0,0.8830699688583282,432805498.85586715,2024 02 21 - 12:24:27 PM
45,2550000000.0,0.8839404480234501,433318156.642704,2024 02 21 - 12:29:30 PM
45,2550000000.0,0.8830832430469399,433089446.79479253,2024 02 21 - 12:34:32 PM
44,2550000000.0,0.8811982199042595,434086430.85190225,2024 02 21 - 12:39:34 PM
44,2550000000.0,0.8833964011096748,435274310.0007849,2024 02 21 - 12:44:37 PM
44,2550000000.0,0.8842187397993349,436076429.7925038,2024 02 21 - 12:49:42 PM
44,2550000000.0,0.8861711622971653,434864667.0291125,2024 02 21 - 12:54:44 PM
44,2550000000.0,0.8877324881419423,434570962.5380867,2024 02 21 - 12:59:47 PM
44,2550000000.0,0.8845840610907053,435168572.39748114,2024 02 21 - 01:04:49 PM
44,2550000000.0,0.8817419296457603,435553624.91077673,2024 02 21 - 01:09:52 PM
44,2550000000.0,0.8802095070056525,435310291.4187141,2024 02 21 - 01:14:54 PM
44,2550000000.0,0.8795953654062524,435533604.6635828,2024 02 21 - 01:19:57 PM
44,2550000000.0,0.8782000724859031,436872173.08673775,2024 02 21 - 01:25:00 PM
44,2550000000.0,0.8789884557340574,437692843.1445595,2024 02 21 - 01:30:03 PM
44,2550000000.0,0.8788595632445572,437110538.2756277,2024 02 21 - 01:35:06 PM
44,2550000000.0,0.8807221789032481,437666766.6399227,2024 02 21 - 01:40:09 PM
44,2550000000.0,0.8794881759460472,437489467.6683522,2024 02 21 - 01:45:11 PM
44,2550000000.0,0.8794038072861993,437037074.9690569,2024 02 21 - 01:50:13 PM
44,2550000000.0,0.8791831124715671,437100839.0157672,2024 02 21 - 01:55:16 PM
44,2550000000.0,0.877971685243624,436576251.87389934,2024 02 21 - 02:00:18 PM
44,2550000000.0,0.8807474729373832,436744686.73024714,2024 02 21 - 02:05:20 PM
44,2550000000.0,0.8794832885032254,436496799.2330567,2024 02 21 - 02:10:24 PM
45,2550000000.0,0.8780414657236967,436749095.56077325,2024 02 21 - 02:15:26 PM
45,2550000000.0,0.8781775883366423,436767748.8426544,2024 02 21 - 02:20:28 PM
45,2550000000.0,0.8792874446276565,436668494.2829842,2024 02 21 - 02:25:31 PM
45,2550000000.0,0.8802270337880072,436914298.76367766,2024 02 21 - 02:30:33 PM
45,2550000000.0,0.8784550816621497,436431802.2066692,2024 02 21 - 02:35:49 PM
45,2550000000.0,0.8761352104670129,437925438.56931496,2024 02 21 - 02:40:54 PM
45,2550000000.0,0.8721471553895627,440331491.79123473,2024 02 21 - 02:45:56 PM
45,2550000000.0,0.8724106908941304,441392036.26171976,2024 02 21 - 02:50:59 PM
45,2550000000.0,0.8723945759469276,441178032.40070117,2024 02 21 - 02:56:02 PM
45,2550000000.0,0.868435436081069,442371980.75464576,2024 02 21 - 03:01:15 PM
45,2550000000.0,0.8701389925639256,444951908.93425286,2024 02 21 - 03:06:28 PM
45,2550000000.0,0.8664943376933879,445086036.0529188,2024 02 21 - 03:11:33 PM
46,2550000000.0,0.860462760281334,445822866.13206565,2024 02 21 - 03:16:36 PM
46,2550000000.0,0.8608440358583178,449112900.8228923,2024 02 21 - 03:21:39 PM
45,2550000000.0,0.8603706453866538,449757006.96789396,2024 02 21 - 03:26:41 PM
46,2550000000.0,0.8550303467967248,452067029.21195716,2024 02 21 - 03:31:46 PM
45,2550000000.0,0.8605644000450581,454392751.5261879,2024 02 21 - 03:36:49 PM
46,2550000000.0,0.8573000815035469,457557334.3290675,2024 02 21 - 03:41:52 PM
46,2550000000.0,0.8515940770986761,459394794.283993,2024 02 21 - 03:46:55 PM
46,2550000000.0,0.8604426356407479,459986354.6362082,2024 02 21 - 03:52:00 PM
46,2550000000.0,0.8595852780720479,461358650.71044225,2024 02 21 - 03:57:03 PM
45,2550000000.0,0.8630322600209549,458345944.63737464,2024 02 21 - 04:02:09 PM
