cmcRank,circulatingSupply,price,volume24h,fetched_on
5,440720837.71937615,111.47930893657568,1548572120.791941,2024 02 19 - 10:59:38 AM
5,440720837.71937615,111.54889208383416,1549478771.5700495,2024 02 19 - 11:04:40 AM
5,440720837.71937615,111.42598704711105,1549353635.3638482,2024 02 19 - 11:09:42 AM
5,440720837.71937615,111.28792899854079,1550089399.4622545,2024 02 19 - 11:14:47 AM
5,440720837.71937615,111.30103310840454,1550725376.1258876,2024 02 19 - 11:19:49 AM
5,440720837.71937615,111.29648340970395,1550567133.8673873,2024 02 19 - 11:24:54 AM
5,440720837.71937615,111.88158318364628,1555628477.6490006,2024 02 19 - 11:29:56 AM
5,440720837.71937615,111.7758920774613,1554017894.4179363,2024 02 19 - 11:35:00 AM
5,440720837.71937615,112.10655019593129,1556964028.5774026,2024 02 19 - 11:40:02 AM
5,440720689.9470075,112.26287824104078,1563635691.8477395,2024 02 19 - 11:45:07 AM
5,440720689.9470075,112.45490397255045,1568634951.8469143,2024 02 19 - 11:50:08 AM
5,440720689.9470075,112.61218559030988,1574534271.8371775,2024 02 19 - 11:55:13 AM
5,440720689.9470075,112.77984567151236,1582578463.2130868,2024 02 19 - 12:00:16 PM
5,440720689.9470075,112.95010703965085,1585327842.9558463,2024 02 19 - 12:05:20 PM
5,440720689.9470075,112.69325332148935,1590191609.2418344,2024 02 19 - 12:10:22 PM
5,440720689.9470075,112.44060140970156,1593499744.8309038,2024 02 19 - 12:15:28 PM
5,440720689.9470075,112.70660419648239,1597017307.1693091,2024 02 19 - 12:20:30 PM
5,440720689.9470075,112.52423977475605,1599877078.26528,2024 02 19 - 12:25:34 PM
5,440720689.9470075,112.45721745609495,1601247391.1241152,2024 02 19 - 12:30:37 PM
5,440720689.9470075,112.4322037726674,1598269176.4172938,2024 02 19 - 12:32:32 PM
5,440720689.9470075,112.36275538378851,1596321723.834927,2024 02 19 - 12:37:37 PM
5,440720689.9470075,112.54043608475261,1597242682.4494276,2024 02 19 - 12:42:39 PM
5,440720689.9470075,112.91369276479243,1602676093.5172625,2024 02 19 - 12:47:44 PM
5,440720689.9470075,112.96475763424489,1607028210.5174398,2024 02 19 - 12:52:45 PM
5,440720689.9470075,112.94510328943248,1608266185.7652628,2024 02 19 - 12:57:47 PM
5,440720689.9470075,113.24169749950765,1615977898.3314917,2024 02 19 - 01:02:50 PM
5,440720689.9470075,113.19657206449041,1618474759.9451618,2024 02 19 - 01:07:51 PM
5,440720689.9470075,113.06510700885636,1620771312.714519,2024 02 19 - 01:12:53 PM
5,440720689.9470075,113.05293161168925,1624088302.6209908,2024 02 19 - 01:17:55 PM
5,440720689.9470075,112.9813148653571,1615988759.8465452,2024 02 19 - 01:22:58 PM
5,440720689.9470075,113.53630791672258,1622521328.1070821,2024 02 19 - 01:28:00 PM
5,440720689.9470075,113.31430380965183,1621807911.505399,2024 02 19 - 01:33:02 PM
5,440720689.9470075,113.12279227995847,1620470817.139251,2024 02 19 - 01:38:07 PM
5,440720568.189755,113.01581191200107,1621567623.3295693,2024 02 19 - 01:43:09 PM
5,440720568.189755,112.99161647818538,1621031834.80373,2024 02 19 - 01:48:14 PM
5,440720568.189755,112.73222854401595,1622624862.7071462,2024 02 19 - 01:53:16 PM
5,440720568.189755,112.74341951447067,1625501007.9196167,2024 02 19 - 01:58:19 PM
5,440720568.189755,112.70384938045044,1626567512.437138,2024 02 19 - 02:03:21 PM
5,440720568.189755,112.48946039369812,1627786484.1372833,2024 02 19 - 02:08:26 PM
5,440720568.189755,112.318979887635,1630472309.5978007,2024 02 19 - 02:13:28 PM
5,440720568.189755,112.20124964092425,1632799314.7509294,2024 02 19 - 02:18:29 PM
5,440720568.189755,111.88692303703125,1638497980.5386581,2024 02 19 - 02:23:31 PM
5,440720568.189755,111.8049810522267,1645249073.1958818,2024 02 19 - 02:28:40 PM
5,440720568.189755,111.77997142826942,1635249127.3938746,2024 02 19 - 02:33:42 PM
5,440720568.189755,111.96757528170107,1630045627.0163996,2024 02 19 - 02:38:45 PM
5,440720568.189755,111.99023132611397,1627131818.1222742,2024 02 19 - 02:43:47 PM
5,440720568.189755,112.10355870205143,1623400745.0690606,2024 02 19 - 02:48:53 PM
5,440720568.189755,112.19809204479257,1621914385.5195904,2024 02 19 - 02:53:56 PM
5,440720568.189755,112.27495605612017,1614938750.8652465,2024 02 19 - 02:58:58 PM
5,440720568.189755,112.21124697829238,1624551053.0872,2024 02 19 - 03:04:05 PM
5,440720568.189755,112.19008408927772,1624930389.1399627,2024 02 19 - 03:09:10 PM
5,440720568.189755,112.29162790141507,1626144018.9477737,2024 02 19 - 03:14:12 PM
5,440720568.189755,112.36874642310192,1624596585.0953228,2024 02 19 - 03:19:13 PM
5,440720568.189755,112.30809434276173,1624257462.481302,2024 02 19 - 03:24:16 PM
5,440720568.189755,112.05024542798225,1622239395.4299214,2024 02 19 - 03:29:20 PM
5,440720568.189755,111.73488740168652,1590697524.2050302,2024 02 19 - 03:36:03 PM
5,440720568.189755,111.68735692758705,1579612786.3839314,2024 02 19 - 03:42:06 PM
5,440720449.0924863,111.90512352662772,1550284479.895912,2024 02 19 - 03:47:08 PM
5,440720449.0924863,111.75425739963205,1549118119.3948822,2024 02 19 - 03:52:10 PM
5,440720449.0924863,111.4344123415486,1551861231.7287583,2024 02 19 - 03:57:12 PM
5,440720449.0924863,111.1658337692023,1560895386.033309,2024 02 19 - 04:02:15 PM
5,440720449.0924863,111.31069825373257,1557828853.2089152,2024 02 19 - 04:07:17 PM
5,440720449.0924863,111.71308710502065,1547372593.931808,2024 02 19 - 04:12:20 PM
5,440720449.0924863,111.74958447549284,1545604054.4582977,2024 02 19 - 04:17:22 PM
5,440720449.0924863,111.84872208159456,1542011549.8626642,2024 02 19 - 04:22:26 PM
