cmcRank,circulatingSupply,price,volume24h,fetched_on
67,304619865.70887166,3.4672409125403942,35407403.68137309,2024 02 22 - 09:39:27 AM
67,304619865.70887166,3.4672409125403942,35407403.68137309,2024 02 22 - 09:40:12 AM
67,304619865.70887166,3.470669634483161,35215973.61491036,2024 02 22 - 09:45:18 AM
67,304619865.70887166,3.470610340664662,34143494.74764679,2024 02 22 - 09:50:22 AM
67,304619865.70887166,3.4729143651341694,33544117.33130917,2024 02 22 - 09:55:39 AM
67,304619865.70887166,3.467010688481024,33612921.13979779,2024 02 22 - 10:00:51 AM
67,304619865.70887166,3.467770340587086,33584926.48985781,2024 02 22 - 10:05:54 AM
67,304619865.70887166,3.4626121772817733,33412632.48924502,2024 02 22 - 10:10:57 AM
67,304619865.70887166,3.4635878038412655,33382631.32895451,2024 02 22 - 10:16:03 AM
67,304619865.70887166,3.465408440292712,33218880.37177955,2024 02 22 - 10:21:05 AM
67,304619865.70887166,3.4675082305049476,32892745.67843948,2024 02 22 - 10:26:09 AM
67,304619865.70887166,3.460696860096269,33011353.47828022,2024 02 22 - 10:31:12 AM
68,304619865.70887166,3.462303818048071,33017986.59185128,2024 02 22 - 10:36:17 AM
68,304619865.70887166,3.4615282591749845,33093227.98188792,2024 02 22 - 10:41:21 AM
68,304619865.70887166,3.4664786032631207,33197178.25271355,2024 02 22 - 10:46:24 AM
68,304619865.70887166,3.473038627655425,33107115.63285534,2024 02 22 - 10:51:27 AM
67,304619865.70887166,3.487950943052578,33203185.53200644,2024 02 22 - 10:56:29 AM
67,304619865.70887166,3.492036306229993,33287072.52511212,2024 02 22 - 11:01:31 AM
68,304619865.70887166,3.484849457152126,33407142.22518817,2024 02 22 - 11:06:36 AM
68,304619865.70887166,3.4810458674611877,33511345.44708586,2024 02 22 - 11:11:38 AM
68,304619865.70887166,3.4811078491926297,33462889.66985011,2024 02 22 - 11:16:40 AM
68,304619865.70887166,3.4889635412947855,33478370.04246908,2024 02 22 - 11:21:43 AM
68,304619865.70887166,3.484425732858109,33444005.7249566,2024 02 22 - 11:26:53 AM
68,304619865.70887166,3.4820487858015117,33477709.69992731,2024 02 22 - 11:31:56 AM
68,304619865.70887166,3.4853053124961777,33471877.79475091,2024 02 22 - 11:37:01 AM
68,304619865.70887166,3.4902437824107917,33214731.05577398,2024 02 22 - 11:42:04 AM
69,304619865.70887166,3.491105463815105,33227518.74550899,2024 02 22 - 11:47:08 AM
69,304619865.70887166,3.489538440190424,33284971.90617317,2024 02 22 - 11:52:13 AM
69,304619865.70887166,3.4947851352661474,33292850.75527938,2024 02 22 - 11:57:15 AM
69,304619865.70887166,3.49965857562855,33315462.45681705,2024 02 22 - 12:02:17 PM
70,304619865.70887166,3.507383925539395,33281156.85828005,2024 02 22 - 12:07:23 PM
70,304619865.70887166,3.515908008688255,33742441.74073393,2024 02 22 - 12:12:26 PM
70,304619865.70887166,3.5163580055083132,33783174.17812297,2024 02 22 - 12:17:31 PM
70,304619865.70887166,3.523070207497429,33801008.4427845,2024 02 22 - 12:22:34 PM
70,304619865.70887166,3.5343995168976408,34089599.8632265,2024 02 22 - 12:27:42 PM
70,304619865.70887166,3.537111591519876,34462472.53668016,2024 02 22 - 12:32:44 PM
70,304619865.70887166,3.5353492653628984,34272795.72333091,2024 02 22 - 12:37:47 PM
70,304619865.70887166,3.529759843645938,34169085.15571114,2024 02 22 - 12:42:51 PM
70,304619865.70887166,3.5334727834977375,34257568.8690301,2024 02 22 - 12:47:57 PM
70,304619865.70887166,3.5385458962408474,34207215.59812231,2024 02 22 - 12:53:01 PM
70,304619865.70887166,3.544269579366481,34249598.24887989,2024 02 22 - 12:58:08 PM
70,304619865.70887166,3.547022737748885,34206875.13461183,2024 02 22 - 01:03:11 PM
70,304619865.70887166,3.5446869395408354,34205636.89556283,2024 02 22 - 01:08:17 PM
70,304619865.70887166,3.5507827568595025,34206107.1380228,2024 02 22 - 01:13:20 PM
70,304619865.70887166,3.551136767651883,34141198.90335968,2024 02 22 - 01:18:24 PM
70,304619865.70887166,3.5534771792129,34103346.05630664,2024 02 22 - 01:23:27 PM
70,304619865.70887166,3.5529190133602597,34068286.16055977,2024 02 22 - 01:28:30 PM
70,304619865.70887166,3.5543004673569287,34023547.46718005,2024 02 22 - 01:33:33 PM
70,304619865.70887166,3.557653996792047,33975680.68163315,2024 02 22 - 01:38:37 PM
70,304619865.70887166,3.5637592117770547,33822843.7449846,2024 02 22 - 01:43:40 PM
70,304619865.70887166,3.569606867461346,33919022.0044051,2024 02 22 - 01:48:47 PM
69,304619865.70887166,3.568450484670692,33899563.31606852,2024 02 22 - 01:53:50 PM
69,304619865.70887166,3.573673187468383,34026878.24054125,2024 02 22 - 01:58:53 PM
69,304619865.70887166,3.56601813441923,33925180.30434414,2024 02 22 - 02:03:56 PM
69,304619865.70887166,3.5501829392123927,31822613.77654097,2024 02 22 - 07:08:32 PM
69,304619865.70887166,3.55049479991724,31819386.72149622,2024 02 22 - 07:13:40 PM
69,304619865.70887166,3.5358228555007734,31595339.42184277,2024 02 22 - 07:18:44 PM
69,304619865.70887166,3.5302350206841786,31536314.20552976,2024 02 22 - 07:23:46 PM
70,304619865.70887166,3.5344323333780068,31600885.13170273,2024 02 22 - 07:28:49 PM
70,304619865.70887166,3.5426958335345096,31415271.01976201,2024 02 22 - 07:33:54 PM
70,304619865.70887166,3.546870663039311,31678116.43472872,2024 02 22 - 07:38:57 PM
70,304619865.70887166,3.5474388537098194,31668763.79209607,2024 02 22 - 07:43:59 PM
70,304619865.70887166,3.554338748266673,31959577.30912206,2024 02 22 - 07:49:02 PM
70,304619865.70887166,3.5505252041759356,31339338.17378583,2024 02 22 - 07:54:08 PM
70,304619865.70887166,3.55006292892421,31195588.89926079,2024 02 22 - 07:59:11 PM
70,304619865.70887166,3.5509374397702276,30884477.30240203,2024 02 22 - 08:04:13 PM
70,304619865.70887166,3.551976578558081,30986775.6822305,2024 02 22 - 08:09:16 PM
70,304619865.70887166,3.557198965885581,30639370.63522783,2024 02 22 - 08:14:23 PM
70,304619865.70887166,3.555479617342071,30673740.66086121,2024 02 22 - 08:19:26 PM
70,304619865.70887166,3.5561317695211914,30837840.88969122,2024 02 22 - 08:24:29 PM
70,304619865.70887166,3.561995297325251,30927844.2091564,2024 02 22 - 08:29:31 PM
70,304619865.70887166,3.57026019121487,30667237.17651598,2024 02 22 - 08:34:36 PM
70,304619865.70887166,3.566417176214309,30626268.60957149,2024 02 22 - 08:39:39 PM
70,304619865.70887166,3.5574083557602107,30612677.91909341,2024 02 22 - 08:44:42 PM
70,304619865.70887166,3.5583850827663412,30509619.30572735,2024 02 22 - 08:49:44 PM
70,304619865.70887166,3.558415306912255,30443162.11967801,2024 02 22 - 08:54:50 PM
70,304619865.70887166,3.5588187634079915,30730570.05816917,2024 02 22 - 08:59:52 PM
70,304619865.70887166,3.5640331932717855,30771843.75445168,2024 02 22 - 09:04:56 PM
70,304619865.70887166,3.5836346214687254,30730239.57085858,2024 02 22 - 09:09:59 PM
70,304619865.70887166,3.588478105338377,30899317.49430598,2024 02 22 - 09:15:02 PM
70,304619865.70887166,3.596211225917783,31311363.36495265,2024 02 22 - 09:20:05 PM
70,304619865.70887166,3.589684885626998,31198546.39687545,2024 02 22 - 09:25:08 PM
70,304619865.70887166,3.596842746122667,31218421.03100589,2024 02 22 - 09:30:10 PM
70,304619865.70887166,3.5994760621251416,30806920.64512793,2024 02 22 - 09:35:16 PM
70,304619865.70887166,3.599969782134534,30731043.82639486,2024 02 22 - 09:40:19 PM
69,304619865.70887166,3.6017459276409087,30897411.65797276,2024 02 22 - 09:45:22 PM
69,304619865.70887166,3.5985190421165503,31095070.05563838,2024 02 22 - 09:50:24 PM
69,304619865.70887166,3.5816816128210975,31334323.42037453,2024 02 22 - 09:55:27 PM
69,304619865.70887166,3.5776134417098073,31011248.92106671,2024 02 22 - 10:00:33 PM
69,304619865.70887166,3.5755541742209247,31084962.57624558,2024 02 22 - 10:05:36 PM
69,304619865.70887166,3.5732340703802263,31877583.91330593,2024 02 22 - 10:10:39 PM
70,304619865.70887166,3.5528707835034345,32159588.40600646,2024 02 22 - 10:15:45 PM
70,304619865.70887166,3.5436427696828017,32026082.56969261,2024 02 22 - 10:20:49 PM
70,304619865.70887166,3.5376199838518616,32142849.17258462,2024 02 22 - 10:25:51 PM
72,304620395.4214766,3.4482141347117405,30492216.1307833,2024 02 23 - 08:46:35 AM
72,304620395.4214766,3.4462385306010197,30843596.17180386,2024 02 23 - 08:51:44 AM
72,304620395.4214766,3.451083950369695,31042247.45887174,2024 02 23 - 08:56:47 AM
72,304620395.4214766,3.4468628353064945,31098389.37709514,2024 02 23 - 09:01:51 AM
72,304620395.4214766,3.445968221666748,31344977.78804775,2024 02 23 - 09:06:55 AM
72,304620395.4214766,3.4433576644095627,31733742.4316447,2024 02 23 - 09:12:01 AM
72,304620395.4214766,3.4366455469111226,32135916.41300761,2024 02 23 - 09:17:06 AM
72,304620395.4214766,3.438350639006241,32527505.73653257,2024 02 23 - 09:22:08 AM
72,304620395.4214766,3.4350537418914553,32749772.33551835,2024 02 23 - 09:27:11 AM
72,304620395.4214766,3.435486439959262,32607655.97753214,2024 02 23 - 09:32:15 AM
72,304620395.4214766,3.4342318734277524,32317488.72688377,2024 02 23 - 09:37:19 AM
72,304620395.4214766,3.408651698068996,32879778.70128237,2024 02 23 - 09:42:23 AM
72,304620395.4214766,3.407423224875762,32926299.04701803,2024 02 23 - 09:47:26 AM
72,304620395.4214766,3.416474265550341,33040118.29722466,2024 02 23 - 09:52:28 AM
72,304620395.4214766,3.4334113307948235,33705650.07794783,2024 02 23 - 09:57:31 AM
72,304620395.4214766,3.439592586022016,33772490.35039143,2024 02 23 - 10:02:36 AM
72,304620395.4214766,3.444457361986105,33933414.59691388,2024 02 23 - 10:07:39 AM
72,304620395.4214766,3.4415211494801445,33854167.24001836,2024 02 23 - 10:12:42 AM
72,304620395.4214766,3.436791454884023,33865991.01598945,2024 02 23 - 10:17:45 AM
72,304620395.4214766,3.4364472923510863,33881729.30370749,2024 02 23 - 10:22:48 AM
72,304620395.4214766,3.440103409618431,33742723.56731053,2024 02 23 - 10:27:51 AM
73,304620395.4214766,3.4430700062774147,33773423.86656368,2024 02 23 - 10:32:54 AM
73,304620395.4214766,3.432377985551032,33612641.40893698,2024 02 23 - 10:37:57 AM
73,304620395.4214766,3.4338319901379357,33079778.76107705,2024 02 23 - 10:43:03 AM
73,304620395.4214766,3.436639159328464,33104885.40447327,2024 02 23 - 10:48:07 AM
73,304620395.4214766,3.442375806417183,33100493.49332942,2024 02 23 - 10:53:14 AM
73,304620395.4214766,3.4477841670534897,33078996.71093218,2024 02 23 - 10:58:17 AM
73,304620395.4214766,3.4457760929298886,33017519.55103639,2024 02 23 - 11:03:20 AM
73,304620395.4214766,3.442889976516545,33009974.27736352,2024 02 23 - 11:08:23 AM
