cmcRank,circulatingSupply,price,volume24h,fetched_on
100,738987280.349856,0.9996275683155933,14641798.11987895,2024 02 21 - 03:16:36 PM
100,738987280.349856,1.0003643229587273,14652249.48206176,2024 02 21 - 03:21:39 PM
100,738987280.349856,0.9996708304230132,14686008.23058645,2024 02 21 - 03:26:41 PM
100,738987280.349856,0.9995170646675767,14715898.05158475,2024 02 21 - 03:31:46 PM
100,738987280.349856,0.9994110542457939,14746294.3834278,2024 02 21 - 03:36:49 PM
100,738987280.349856,0.999265807043967,14756066.02180504,2024 02 21 - 03:41:52 PM
99,738987020.201642,0.9997841281829913,14774838.18200908,2024 02 21 - 03:46:55 PM
100,738987020.201642,0.9995260995088011,14779409.21264219,2024 02 21 - 03:52:00 PM
100,738987020.201642,0.9998712922350743,14779365.55053052,2024 02 21 - 03:57:03 PM
100,738987020.201642,0.999221620153417,14750923.41009482,2024 02 21 - 04:02:09 PM
100,738987020.201642,0.9995303341083118,14748185.59671174,2024 02 21 - 04:07:12 PM
100,738987020.201642,0.9992993457658846,14754923.90300828,2024 02 21 - 04:12:18 PM
100,738987020.201642,0.999244293634906,14762220.07775207,2024 02 21 - 04:17:21 PM
100,738987020.201642,0.9996642973098632,14784680.27025069,2024 02 21 - 04:22:24 PM
100,738987020.201642,0.9992744620013864,14793627.4757639,2024 02 21 - 04:27:27 PM
100,738987020.201642,0.9999585913476874,14790635.89830922,2024 02 21 - 04:32:33 PM
100,738987020.201642,0.9994626791252625,14805178.71751714,2024 02 21 - 04:37:36 PM
100,738987020.201642,0.9994612918861718,14828720.26443178,2024 02 21 - 04:58:06 PM
100,738987020.201642,0.9993238168591344,14818999.93568011,2024 02 21 - 05:03:09 PM
100,738987020.201642,0.999287929848477,14827980.4779216,2024 02 21 - 05:08:12 PM
100,738987020.201642,0.9999403215052192,14825888.06999562,2024 02 21 - 05:13:18 PM
100,738987020.201642,0.9991882675285924,14844944.41931099,2024 02 21 - 05:18:21 PM
100,738987020.201642,0.9994573303833463,14838538.87015562,2024 02 21 - 05:23:24 PM
100,738987020.201642,0.9989069634175515,14838935.71548732,2024 02 21 - 05:28:26 PM
100,738987020.201642,0.9990528020157305,14834137.62526701,2024 02 21 - 05:33:30 PM
99,738987020.201642,0.9977234451278475,14816026.13661544,2024 02 21 - 05:38:32 PM
99,738987020.201642,1.0000312485965746,14798432.15720578,2024 02 21 - 05:43:34 PM
100,738987020.201642,0.9995639300024686,14822876.44777703,2024 02 21 - 05:48:37 PM
100,738987020.201642,1.0002991176988167,14817256.28241873,2024 02 21 - 05:58:44 PM
100,738987020.201642,0.9992328203445231,14785097.41421988,2024 02 21 - 06:09:01 PM
100,738987020.201642,0.9998695137146498,14729863.30057839,2024 02 21 - 06:29:23 PM
100,738987020.201642,0.9995733617290606,14718806.03643321,2024 02 21 - 06:34:37 PM
100,738987020.201642,0.9996196211363375,14702124.30102288,2024 02 21 - 06:54:48 PM
100,738987020.201642,0.9995825195848821,14708910.64300897,2024 02 21 - 06:59:51 PM
100,738987020.201642,0.9994932112913352,14690416.23680772,2024 02 21 - 07:04:54 PM
100,738987020.201642,0.9990886593160625,14685886.10272528,2024 02 21 - 07:09:57 PM
100,738987020.201642,0.9993728076128505,14703874.96750965,2024 02 21 - 07:15:00 PM
100,738987020.201642,0.9994216932631126,14714155.00327315,2024 02 21 - 07:40:20 PM
100,738987020.201642,0.9995336774880464,14692365.98127552,2024 02 21 - 07:50:32 PM
100,738987020.201642,0.9985548538637532,14671517.0619921,2024 02 21 - 07:55:35 PM
99,738987020.201642,0.9985856995690766,14654725.1657547,2024 02 21 - 08:00:38 PM
99,738987020.201642,0.999215700244227,14636295.76062985,2024 02 21 - 08:05:44 PM
99,738987020.201642,0.9981862756560694,14646119.57621586,2024 02 21 - 08:10:48 PM
100,738987020.201642,0.9983822838396682,14630321.014487,2024 02 21 - 08:15:53 PM
99,738987020.201642,0.9979677962275196,14624121.50217103,2024 02 21 - 08:20:58 PM
98,738987020.201642,0.9984301586512092,14641878.44230606,2024 02 21 - 08:26:03 PM
98,738987020.201642,0.9982535531749418,14686562.70825617,2024 02 21 - 08:31:47 PM
98,738987020.201642,0.9988694527532773,14699291.64133931,2024 02 21 - 08:36:50 PM
98,738987020.201642,0.9985715192159207,14692428.65008707,2024 02 21 - 08:41:54 PM
98,738987020.201642,0.9987870055174661,14689687.35034797,2024 02 21 - 08:46:57 PM
100,738987020.201642,0.998248894843981,14692216.85697563,2024 02 21 - 08:52:01 PM
100,738987020.201642,0.9980446932589905,14691124.07898788,2024 02 21 - 08:57:05 PM
100,738987020.201642,0.9990298742610563,14686837.49287363,2024 02 21 - 09:02:10 PM
100,738987020.201642,0.9986525633658653,14664340.55798816,2024 02 21 - 09:07:16 PM
100,738987020.201642,0.9986149907669984,14650121.28093559,2024 02 21 - 09:12:21 PM
100,738987020.201642,0.998875810860546,14633262.21726249,2024 02 21 - 09:17:26 PM
100,738987020.201642,0.9994907123862659,14615675.92563398,2024 02 21 - 09:22:32 PM
100,738814404.053072,0.9988784093341329,14486481.38882331,2024 02 21 - 10:19:38 PM
