Last updated time : February 07, 2024 | 11:08:18 PM
id,name,symbol,cmcRank,circulatingSupply,price,volume24h,marketCap,marketCapByTotalSupply
1,Bitcoin,BTC,1,19621168.0,43486.527703510335,15942937840.233591,853256465807.2305,853256465807.2305
1027,Ethereum,ETH,2,120182175.85848804,2418.241658927416,9038317640.838202,290629544321.53656,290629544321.53656
825,Tether USDt,USDT,3,96181404717.15465,0.999352381528528,31061734025.51893,96119115862.8477,99536122944.57555
1839,BNB,BNB,4,149545988.3918813,306.52162705025256,724217131.9314115,45839079680.717636,45839079680.717636
5426,Solana,SOL,5,436871192.5151664,97.47141857543137,1387502872.3853035,42582454869.19364,55465676327.10422
52,XRP,XRP,6,54436190886.0,0.5078241997722721,833472533.537855,27644015075.333603,50776293576.94032
3408,USDC,USDC,7,27331065153.08862,1.0001261775615438,4912431009.144133,27334513720.24403,27334513720.24403
2010,Cardano,ADA,8,35435349537.344,0.49054502661646543,435536470.2078147,17382634481.960167,17953819032.236633
5805,Avalanche,AVAX,9,367451281.5355623,35.078634739436595,358249122.43023777,12889689289.523872,15276190889.674835
74,Dogecoin,DOGE,10,142976476383.7052,0.07963279464660802,181878787.78598872,11385616383.159197,11385616383.159197
1958,TRON,TRX,11,88096132426.25137,0.12558886537031172,292828646.3912189,11063893314.925636,11063897541.9648
1975,Chainlink,LINK,12,587099970.4527867,18.582650445728273,568493255.5319127,10909873527.621532,18582650445.72827
6636,Polkadot,DOT,13,1276183043.222897,6.893247090331171,144396043.14143142,8797045049.426214,9708749367.99305
3890,Polygon,MATIC,14,9610750233.843243,0.8266169785268839,262546751.59010202,7944409319.676044,8266169785.268839
11419,Toncoin,TON,15,3458128539.9933453,2.035877465226355,25796800.11743514,7040325966.428568,10387879293.379717
8916,Internet Computer,ICP,16,457785065.85399956,12.144391257288671,89573621.61909874,5559520951.47463,6243582233.684121
4943,Dai,DAI,17,5347888595.7464075,1.0001826015984936,154893428.85327822,5348865128.752557,5348865128.752557
5994,Shiba Inu,SHIB,18,589290021988766.1,9.020497867890908e-06,80628811.0850897,5315689386.919051,5317893462.031817
2,Litecoin,LTC,19,74179744.02208512,68.696834088068,219672819.15730503,5095913567.780536,5770534063.397712
1831,Bitcoin Cash,BCH,20,19635343.75,237.88291502248185,142016168.36918268,4670912808.718471,4670912808.718471
7083,Uniswap,UNI,21,598187015.71,6.408652632254285,74593100.1661996,3833572792.810227,6408652632.254285
3957,UNUS SED LEO,LEO,22,927649927.9,4.065387893947647,1144185.29387534,3771256786.7060676,4005380752.2005844
3794,Cosmos,ATOM,23,385747778.0,9.424920510567397,115589331.19170041,3635642144.777999,3635642144.777999
1321,Ethereum Classic,ETC,24,145435145.63056296,24.936646427310876,162215295.21234405,3626664804.6938148,5254151402.234402
11840,Optimism,OP,25,957378568.0,3.453145091970482,331921530.8259683,3305967103.246928,14831145238.356133
512,Stellar,XLM,26,28376946269.64361,0.1078218606981721,55710050.34574113,3059655147.7250276,5391285716.532651
